Symbol ,Series ,LTP ,%chng ,New 52W/L price ,Prev.Low ,Prev. Low Date 
ABHAPOWER,SM,23.8,-0.83,23,23,24-Aug-2026
AGSTRA,BZ,1.97,2.07,1.88,1.9,26-Aug-2026
ALOKINDS,EQ,10.24,-9.22,9.55,11.11,30-Mar-2026
ARSHIYA,BZ,0.86,1.18,0.83,0.85,26-Aug-2026
ASTRAZEN,EQ,7158,0.07,7070,7110,25-Aug-2026
AXTEL,EQ,398,-2.04,390,400,20-Aug-2026
BIOPOL,SM,71,-19.95,71,84,08-Jul-2026
BLUEPEBBLE,SM,61,-10.29,60.65,65.5,25-Aug-2026
BNAGROCHEM,EQ,223,-3.06,219.05,221.15,18-Aug-2026
DABUR,EQ,388.25,-1.01,388.05,392.15,25-Aug-2026
DAVANGERE,EQ,2.54,-4.15,2.53,2.56,26-Aug-2026
DIGIKORE,SM,35.7,-5.8,32,32.4,10-Aug-2026
ELITECON,EQ,11.78,-4.92,11.78,12.39,26-Aug-2026
FASCINATE,ST,98.5,-4.97,98.5,103.65,26-Aug-2026
FIRSTCRY,EQ,189.12,-1.48,189.08,191.13,26-Aug-2026
FMCGADD,EQ,47.3,-0.8,47.28,47.45,24-Aug-2026
GGBL,SM,216,-5.57,211,215,30-Mar-2026
GUJENERGY,EQ,251.45,-0.98,251.05,252,26-Aug-2026
GVKPIL,BE,2.08,-1.89,2.08,2.12,26-Aug-2026
HAZOOR,EQ,20.42,0.29,17.44,19.24,24-Aug-2026
HDFCBANK,EQ,715.55,-1.6,710,715.1,19-Aug-2026
HINDUNILVR,EQ,2011.3,-0.48,2004.3,2006.2,24-Aug-2026
ICELCO,SM,127,-6.99,125,131,11-Aug-2026
INDOTHAI,EQ,48.61,-4.98,48.61,51.16,26-Aug-2026
INNOVISION,EQ,251.8,-1.18,251.05,254.2,26-Aug-2026
INOXWIND,EQ,71.69,-2.06,71.63,72.7,11-Aug-2026
IRFC,EQ,84.67,-1.2,84.64,85,19-Aug-2026
KLL,SM,21.9,-1.35,21.05,21.2,13-Aug-2026
LALITHAA,EQ,249.33,2.18,240.35,242.25,26-Aug-2026
LANDSMILL,EQ,0.69,-1.43,0.68,0.69,25-Aug-2026
LKPSEC,EQ,15.7,1.75,14.51,15.05,25-Aug-2026
MANDEEP,SM,17,0,17,17,26-Aug-2026
MOOILGAS,EQ,11.14,-0.36,10.9,11.1,19-Aug-2026
NATIONSTD,EQ,103.44,-5,103.44,108.88,26-Aug-2026
POLYSPIN,EQ,29.29,-0.71,28,28,21-Aug-2026
PRAXIS,EQ,5.05,-1.56,4.99,5.05,25-Aug-2026
QUICKTOUCH,SM,15.5,0.65,15.4,15.4,26-Aug-2026
RAMKY,EQ,367.15,0.26,364,364.25,26-Aug-2026
REPRO,EQ,308.75,0.36,305,305,26-Aug-2026
SAB,EQ,170,-1.73,170,170,25-Aug-2026
SAICAPI,EQ,140.61,-3.09,140.5,145,21-Aug-2026
SGLRES,EQ,2.32,-2.52,2.28,2.28,20-Aug-2026
SHANKESH,EQ,91.52,-2.37,91.05,93.01,26-Aug-2026
SILKY,SM,69.05,6.23,62,65,26-Aug-2026
SILVER001,EQ,24,-1.92,23.47,24.01,25-Aug-2026
SITINET,BZ,0.28,3.7,0.27,0.27,26-Aug-2026
SKYTECH,ST,57.35,-4.97,57.35,60.35,26-Aug-2026
SOLEX,EQ,760,-2.74,753.05,766.15,20-Aug-2026
STARCEMENT,EQ,187.05,-2.15,186.1,190.8,26-Aug-2026
SUN-RE,ST,1.1,-8.33,1.1,1.2,26-Aug-2026
SUNSHIEL,EQ,1174.6,-1.19,1147.5,1151.1,17-Aug-2026
SUNTV,EQ,464.05,-0.24,461.8,464.05,26-Aug-2026
SWANCORP,EQ,299,-0.38,295.65,295.65,30-Mar-2026
TRU,EQ,4.07,-1.45,3.99,4,14-Aug-2026
VIVOBIOT,EQ,18.5,0,17.51,18.25,25-Aug-2026
WAAREEINDO,EQ,274,-0.42,272.55,273,26-Aug-2026
