"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"HDFCBANK","728.15","728.15","710.00","727.20","716.20","-1.51","3,15,10,526","22,58,76,90,352.58","19-Jun-2026"
"BBTC","1,450.00","1,639.00","1,449.00","1,426.20","1,628.50","14.18","1,08,81,751","17,50,50,37,563.66","20-Feb-2026"
"ADANIPOWER","209.15","216.70","207.30","207.20","214.65","3.60","5,94,73,172","12,62,73,43,879.04","22-Sep-2025"
"ICICIAMC","3,099.70","3,118.20","3,060.70","3,222.80","3,106.40","-3.61","40,83,636","12,60,54,49,277.52","12-Jun-2026"
"WEL","157.50","179.20","140.11","155.92","141.89","-9.00","7,27,70,065","11,99,03,23,610.05","20-Feb-2026"
"MILKYMIST","227.39","233.80","216.25","222.11","218.78","-1.50","4,61,55,096","10,35,39,72,685.68",
"BHARTIARTL","1,915.00","1,915.00","1,881.40","1,902.10","1,889.30","-0.67","54,15,748","10,28,16,35,105.56","24-Jul-2026"
"ICICIBANK","1,445.00","1,453.80","1,433.10","1,430.00","1,447.20","1.20","68,46,128","9,88,19,06,539.04","03-Aug-2026"
"KOTAKBANK","415.75","427.70","415.00","416.70","426.30","2.30","2,28,67,722","9,69,36,27,355.80","17-Jul-2026"
"NETWEB","5,380.00","5,450.10","5,252.20","5,271.90","5,334.00","1.18","16,49,212","8,80,17,61,983.40","07-Aug-2026"
"HINDCOPPER","547.20","552.90","540.10","556.05","541.65","-2.59","1,60,17,028","8,73,52,06,560.36","13-Feb-2026"
"RELIANCE","1,305.00","1,308.40","1,287.00","1,298.00","1,290.70","-0.56","67,02,588","8,67,69,69,347.16","05-Jun-2026"
"WELCORP","2,315.00","2,437.30","2,313.70","2,306.70","2,413.00","4.61","33,25,178","7,98,49,82,693.86","30-Jun-2026"
"MVELECTRO","565.50","672.15","559.95","560.15","661.40","18.08","1,16,14,270","7,42,70,93,379.60",
"ETERNAL","329.00","330.80","325.30","327.00","329.20","0.67","2,25,63,861","7,39,68,84,913.02",
"BHEL","416.00","438.20","416.00","415.50","430.30","3.56","1,63,82,663","7,06,12,55,406.26","17-Jul-2026"
"AXISBANK","1,260.00","1,268.70","1,251.40","1,255.00","1,264.00","0.72","53,98,273","6,79,90,70,860.77","10-Jul-2026"
"GVT&D","4,420.20","4,539.00","4,401.60","4,340.00","4,414.90","1.73","13,95,398","6,22,91,96,211.80","21-Aug-2026"
"BSE","3,344.00","3,386.60","3,318.00","3,325.60","3,321.30","-0.13","18,52,320","6,20,55,12,801.60","10-Jul-2026"
"TATASTEEL","188.05","190.25","187.32","188.01","187.80","-0.11","3,24,47,510","6,11,83,02,485.60","12-Jun-2026"
