"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"KOTAKBANK",415.75,427.7,415,416.7,426.05,2.24,22940988,9724684813.2,"17-Jul-2026"
"ADANIENT",3125,3168,3125,3112,3160.9,1.57,1172279,3691037659.4,"12-Jun-2026"
"TITAN",5100,5186.7,5069.5,5100,5172.2,1.42,799949,4095874871.33,"09-Jul-2026"
"ADANIPORTS",1703,1719,1691.2,1691.5,1713.9,1.32,1303382,2221366976.42,"12-Jun-2026"
"ICICIBANK",1445,1453.8,1433.1,1430,1446.4,1.15,6876923,9926494504.35,"03-Aug-2026"
"TECHM",1571.6,1600,1571.6,1571,1586.9,1.01,1496352,2378421576.96,"03-Jul-2026"
"TMPV",315,319.6,314.15,313.1,315.85,0.88,5865516,1856611779.48,"19-Jun-2026"
"CIPLA",1405,1417.5,1402.1,1402.7,1414.6,0.85,327342,461084120.94,"05-Jun-2026"
"BEL",410.8,412.9,408,406.9,410.1,0.79,6695750,2748136672.5,"13-Aug-2026"
"ETERNAL",329,330.8,325.3,327,329.4,0.73,22714133,7446374221.39,"-"
"SUNPHARMA",1907.1,1925,1898,1899.5,1913,0.71,708321,1353374768.28,"07-Jul-2026"
"SBILIFE",1769,1798.9,1766.5,1768.2,1780.6,0.7,633839,1130477210.06,"06-Mar-2026"
"AXISBANK",1260,1268.7,1251.4,1255,1263.2,0.65,5418844,6825034018,"10-Jul-2026"
"ASIANPAINT",2637.9,2655.9,2627.9,2626.5,2642.8,0.62,354014,935552797.8,"23-Jun-2026"
"LT",4058,4067.3,4023,4038.1,4058.5,0.51,750027,3031429127.52,"22-May-2026"
"ONGC",232.21,234.44,231.82,232.21,233.19,0.42,5850132,1364133779.76,"18-Feb-2026"
"EICHERMOT",8015,8063.5,7987,8035,8054,0.24,190738,1531958024.12,"31-Jul-2026"
"APOLLOHOSP",8849,8868,8758.5,8766.5,8782.5,0.18,152500,1340223375,"14-Aug-2026"
"ULTRACEMCO",11674,11815,11674,11717,11733,0.14,210659,2474560714.84,"30-Jul-2026"
"WIPRO",177.35,178.7,176.52,177.35,177.6,0.14,3033172,537933054.2,"27-Jul-2026"
