Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
AETHER,EQ,1677.1,1.34,1696.1,1692,18-Aug-2026
AKSHARCHEM,BE,366.5,4.66,366.5,350.4,26-Aug-2026
ALPHA,EQ,55.07,-0.24,55.59,55.3,26-Aug-2026
ALPHAETF,EQ,27.34,-0.29,27.61,27.49,26-Aug-2026
ANTHEM,EQ,929.75,0.73,942.6,927,26-Aug-2026
ASIANENE,EQ,492.2,2.85,498,491,21-Aug-2026
AUSTENG,EQ,122.85,-0.94,134,133.9,19-Aug-2026
BODALCHEM,BE,94.47,4.99,94.47,91.2,26-Aug-2026
BPLPHARMA,EQ,1519.8,-1.39,1649,1619,17-Aug-2026
CALSOFT,EQ,33.81,5,33.81,32.2,26-Aug-2026
CYIENTDLM,EQ,812,1.77,812,804.3,26-Aug-2026
DCBBANK,EQ,219.47,2.64,220.5,220.1,26-Aug-2026
DCMNVL,EQ,187.1,-1.1,198.58,189.3,26-Aug-2026
DIVISLAB,EQ,9054.5,0.33,9150,9043,26-Aug-2026
DSKULKARNI,BE,17.96,1.99,17.96,17.61,26-Aug-2026
ELIQUID,EQ,1045.31,0.01,1045.33,1045.19,26-Aug-2026
EMPIND,EQ,1218.5,-0.27,1234.9,1234,20-Aug-2026
ENEXT50,EQ,74.46,0.12,75.86,75.14,10-Aug-2026
ENTERO,EQ,1776,7.77,1786.4,1667,25-Aug-2026
ESAFSFB,BE,44.23,0.16,44.8,44.7,26-Aug-2026
FRESHARA,ST,428,-0.7,445,435,26-Aug-2026
GATECH,BE,1.03,4.04,1.03,1,26-Aug-2026
GCSL,EQ,540.1,0.39,548,542.8,06-Aug-2026
GIPCL,EQ,202.38,0.45,204.55,203.7,26-Aug-2026
GLAXO,EQ,3102.7,2.25,3110,3054.9,19-Aug-2026
GLENMARK,EQ,2446.8,0.35,2484,2474,29-Apr-2026
GROWWLIQID,EQ,110.52,0.02,112.71,110.99,26-Aug-2026
HFCL,EQ,246.25,4.39,246.9,244.3,25-Aug-2026
IGPL,EQ,525.85,0.38,541,532.45,06-Aug-2026
IMAGICAA,EQ,60.21,19.99,60.21,59.99,26-Aug-2025
IMPEXFERRO,BZ,4.22,1.93,4.22,4.14,26-Aug-2026
INFINIUM,SM,264.05,-1.73,282.9,269.95,11-Nov-2025
INOXINDIA,EQ,2150.4,11.61,2170,2119.8,22-Jul-2026
IOLCP,EQ,195.6,5.16,195.61,187.63,26-Aug-2026
IVZBANKNF,EQ,57.72,0,57.72,57.72,26-Aug-2026
JINDALSAW,EQ,308.6,2.03,316.95,307.9,26-Aug-2026
JNPR,EQ,257.6,-3.68,282,281.89,21-Aug-2026
JSWSTEEL,EQ,1332.7,-0.62,1351,1341,26-Aug-2026
KENNAMET,EQ,4461.6,3.15,4477.7,4369,26-Aug-2026
KRISHANA,EQ,191.27,-6.77,206.39,206.13,26-Aug-2026
LAMOSAIC,ST,58.4,-1.18,59.9,59.65,26-Aug-2026
LANCER,EQ,11.7,-0.17,12.1,11.99,26-Aug-2026
LAURUSLABS,EQ,1914.9,1.48,1917,1898.3,26-Aug-2026
LIQUIDCASE,EQ,115.66,0.03,115.67,115.65,26-Aug-2026
LIQUIDSHRI,EQ,1119.02,0.01,1119.02,1118.88,26-Aug-2026
MAHASTEEL,BE,1256.1,1.67,1263,1239,26-Aug-2026
MANBRO,EQ,58.76,-2.44,61.49,60.99,24-Aug-2026
MANGLMCEM,EQ,1059.65,0.18,1089.4,1084.95,24-Aug-2026
MANINDS,EQ,758.5,7.88,759.9,735,21-Aug-2026
MANIPALHOS,EQ,798.25,0.41,804,801,26-Aug-2026
