"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"IDEA","15.12","15.26","14.91","15.06","15.02","-0.27","34,13,42,963","5,13,37,98,163.52","20-Aug-2024"
"PCJEWELLER","11.17","11.32","11.00","11.23","11.10","-1.16","18,93,57,609","2,11,32,30,916.44","16-Dec-2024"
"HCC","24.11","26.03","24.11","23.88","25.35","6.16","17,63,25,674","4,46,63,29,322.42","05-Dec-2025"
"WEL","157.50","179.20","124.74","155.92","132.39","-15.09","11,89,45,075","18,10,81,98,218.00","20-Feb-2026"
"VOGL","41.89","43.30","41.27","41.21","42.13","2.23","9,01,99,215","3,81,63,28,786.65",
"NSLNISP","41.44","45.48","41.19","41.44","45.05","8.71","7,32,97,310","3,25,58,66,510.20","17-Sep-2024"
"TATAGOLD","15.54","15.54","15.06","15.55","15.30","-1.61","6,57,93,741","1,00,53,28,362.48",
"ADANIPOWER","209.15","216.70","207.30","207.20","213.61","3.09","6,16,59,633","13,09,52,72,856.54","22-Sep-2025"
"GATECH","1.03","1.03","1.02","0.99","1.03","4.04","6,02,79,034","6,14,84,614.68","28-Apr-2025"
"TATSILV","23.94","23.94","22.71","23.36","23.02","-1.46","5,62,96,043","1,29,31,20,107.71",
"MILKYMIST","227.39","233.80","214.11","222.11","215.76","-2.86","5,03,09,173","11,25,06,40,357.99",
"ALOKINDS","11.35","11.35","9.55","11.28","10.31","-8.60","4,89,39,065","50,50,51,150.80",
"SEPC","5.85","5.94","5.65","5.78","5.75","-0.52","4,65,91,210","26,78,99,457.50","23-May-2025"
"VISL","38.90","40.38","38.22","38.78","38.52","-0.67","4,64,49,880","1,81,47,96,811.60",
"SHAH","3.20","3.78","3.14","3.16","3.75","18.67","3,89,24,317","13,97,38,298.03","27-May-2026"
"HDFCBANK","728.15","728.15","710.00","727.20","714.05","-1.81","3,82,40,141","27,38,75,88,984.20","19-Jun-2026"
"GOLDBEES","131.24","131.49","128.15","132.37","130.22","-1.62","3,63,35,975","4,72,47,66,829.25","19-Dec-2019"
"TATASTEEL","188.05","190.25","186.80","188.01","187.19","-0.44","3,62,76,008","6,83,47,62,667.28","12-Jun-2026"
"IFCI","85.95","88.20","85.30","85.44","85.90","0.54","3,52,77,675","3,06,84,52,171.50","19-Sep-2024"
"BAJAJHIND","21.90","22.48","21.10","21.78","21.25","-2.43","3,51,62,140","75,95,02,224.00","20-Jun-2024"
