"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HINDALCO",1060.5,1061.8,1020.1,1053,1021,-3.04,2437576,2525328736,"10-Jul-2026"
"HDFCBANK",728.15,728.15,710,727.2,713.55,-1.88,38442125,27531481082.5,"19-Jun-2026"
"NTPC",335,335.95,328.4,334.6,328.95,-1.69,10690060,3530071613.2,"02-Sep-2026"
"SHRIRAMFIN",1112,1127.5,1091.5,1117.5,1102.4,-1.35,3539515,3899377490.05,"03-Jul-2026"
"M&M",3410,3420,3342.3,3398.2,3353.1,-1.33,1420500,4785167325,"03-Jul-2026"
"INDIGO",5255,5258.5,5189,5250.5,5190,-1.15,274194,1429790096.88,"13-Aug-2025"
"COALINDIA",403.5,404.95,398.4,403.5,399.35,-1.03,3530803,1415746078.91,"04-Sep-2026"
"INFY",1120,1130.7,1108.3,1120,1109,-0.98,5021443,5593084071.12,"10-Jun-2026"
"TRENT",2908.2,2923.5,2868.2,2908.2,2880.1,-0.97,437855,1264967473.55,"12-Jun-2026"
"GRASIM",3289,3299.8,3266.2,3299.9,3269,-0.94,568456,1864228713.76,"07-Aug-2026"
"HCLTECH",1295,1304.7,1280,1298.5,1287.5,-0.85,1492866,1922244118.92,"17-Jul-2026"
"SBIN",1052,1054.4,1043.1,1052,1044,-0.76,3382326,3540855619.62,"15-May-2026"
"BHARTIARTL",1915,1915,1881.4,1902.1,1887.7,-0.76,6602274,12520288322.64,"24-Jul-2026"
"TATACONSUM",1041,1048.4,1035.6,1047.1,1039.1,-0.76,778538,809313607.14,"25-May-2026"
"JIOFIN",242,242.65,239,241,239.2,-0.75,5882176,1412839853.44,"10-Aug-2026"
"TCS",2270,2283.6,2243.9,2270,2253.9,-0.71,1360524,3068825144.88,"15-Jul-2026"
"ITC",269.5,271.25,268.3,270.25,268.5,-0.65,7109925,1914987199.5,"27-May-2026"
"RELIANCE",1305,1308.4,1287,1298,1289.7,-0.64,8075179,10448312604.52,"05-Jun-2026"
"HINDUNILVR",2020,2028,2004.3,2021,2008.6,-0.61,749256,1506618949.92,"23-Jun-2026"
"BAJAJFINSV",2001.1,2026.6,1997.5,2010,1999,-0.55,376438,755337904.52,"30-Jun-2026"
