"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"GSEC10ADD","DSP Mutual Fund - DSP Nifty 10 Yr Benchmark G-Sec ETF",1650000,81,20220.58823529412,81,20220.58823529412,26.82,-0.3,44253000
"BBTC","The Bombay Burmah Trading Corporation Limited",14319956,25150,569.3819483101391,32502,440.57952384148933,1592,11.63,23055988357
"BANK10ADD","DSP Mutual Fund - DSP BSE Top 10 Banks ETF",7162819,22115,323.88962242821617,37362,191.71214834568573,17.05,0,122126063
"VISACHROME","VISA Chrome Limited",4085526,17951,227.58266100955333,18418,221.8224562927571,37.85,1.47,151123606
"INOXINDIA","INOX India Limited",4484559,103950,43.14150072150072,103157,43.47298963366648,2160.3,12.12,9511973866
"IMAGICAA","Imagicaaworld Entertainment Limited",34242813,948760,36.092169763310395,721892,47.434766560632276,60.21,19.99,1998752994
"WEL","Wonder Electricals Limited",129566541,3836608,33.77111053759151,2561800,50.576357800334044,124.74,-20,19442755142
"KELLTONTEC","Kellton Tech Solutions Limited",58182615,1736078,33.513822198290036,1463724,39.74969494079644,15.07,11.55,859357223
"BOMDYEING","Bombay Dyeing & Mfg Company Limited",12306360,373067,32.986938026434885,394297,31.210846077708275,116.68,4.91,1467287302
"MOSCHIP","Moschip Technologies Limited",17473565,726530,24.050691597326473,964684,18.11324580211257,218.25,6.18,3842786414
"BANARBEADS","Banaras Beads Limited",56286,2393,23.51782729805014,2436,23.105049072657387,118.2,5.77,6783588
"WHIRLPOOL","Whirlpool of India Limited",5452955,232501,23.45346901733756,205347,26.554819821694355,844,9.37,4483146953
"GROWWPSE","Groww Mutual Fund - Groww Nifty PSE ETF",54574,2430,22.455355918255382,4182,13.04831873410568,97.98,-0.01,5342794
"AYE","Aye Finance Limited",13672393,635973,21.498363401838965,673565,20.298542032371028,182.8,3.48,2430814751
"ROSSELLIND","Rossell India Limited",2432924,113333,21.466944901551614,71993,33.79364059151767,56.75,-8.13,161108227
"NSLNISP","NMDC Steel Limited",86668492,4052942,21.38409382616381,6387668,13.56809532048478,45.07,8.76,3858481263
"MVELECTRO","MV Electrosystems Limited",14689330,697594,21.057108364478044,998165,14.716321070691018,641.2,14.47,9433193939
"ALOKINDS","Alok Industries Limited",60004535,3402870,17.633506164550692,2962789,20.252719650302467,10.53,-6.65,620446891
"NIRAJISPAT","Niraj Ispat Industries Limited",556,32,17.267080745341616,57,9.609876543209877,236.9,9.68,130298
"TRAVELFOOD","Travel Food Services Limited",538246,32436,16.5940077177225,59782,9.00334239642829,1332,3.43,736390499
"RAMRAT","Ram Ratna Wires Limited",3785377,259271,14.600069296817296,282639,13.39294462978235,570.2,8.88,2137753806
"NGIL","Nakoda Group of Industries Limited",124146,9044,13.726637796001105,39066,3.177801099752637,42.3,8.99,5071364
"GKENERGY","GK Energy Limited",5842310,430148,13.582076887400515,390621,14.956463273407012,139.4,4.17,826277903
"JINDWORLD","Jindal Worldwide Limited",14872279,1131814,13.140205060044421,2289223,6.496646719851027,36.9,5.91,551166659
"SILVERAXIS","Axis Mutual Fund - Axis Silver ETF",3401405,279575,12.166334515881537,326137,10.429366050547594,234.7,-1.88,796302924
