"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HINDALCO",1060.5,1061.8,1020.05,1053,1024,-2.75,3635432,3751256863.52,"10-Jul-2026"
"HDFCBANK",728.15,728.15,710,727.2,711,-2.23,46515020,33295451316,"19-Jun-2026"
"M&M",3410,3420,3330,3398.2,3330,-2.01,1853016,6233323462.08,"03-Jul-2026"
"SHRIRAMFIN",1112,1127.5,1091.5,1117.5,1101,-1.48,4358707,4802946417.44,"03-Jul-2026"
"GRASIM",3289,3299.8,3258,3299.9,3258,-1.27,733124,2402828572.48,"07-Aug-2026"
"HCLTECH",1295,1304.7,1280,1298.5,1282,-1.27,1936771,2492430599.9,"17-Jul-2026"
"BHARTIARTL",1915,1915,1878.3,1902.1,1878.3,-1.25,8757645,16582600807.5,"24-Jul-2026"
"RELIANCE",1305,1308.4,1282.2,1298,1282.2,-1.22,11271497,14564802993.46,"05-Jun-2026"
"JIOFIN",242,242.65,238.1,241,238.1,-1.2,7638222,1832562222.24,"10-Aug-2026"
"INDIGO",5255,5258.5,5178,5250.5,5189,-1.17,352677,1837105073.31,"13-Aug-2025"
"NTPC",335,335.95,328.4,334.6,330.9,-1.11,12911842,4261940807.36,"02-Sep-2026"
"TRENT",2908.2,2923.5,2868.2,2908.2,2878.5,-1.02,591208,1706835232.24,"12-Jun-2026"
"TCS",2270,2283.6,2243.9,2270,2248.4,-0.95,1709113,3854853098.11,"15-Jul-2026"
"HDFCLIFE",553.1,557,548,553,548,-0.9,2474974,1368982368.62,"19-Jun-2026"
"COALINDIA",403.5,404.95,398.4,403.5,400,-0.87,4430005,1775368803.8,"04-Sep-2026"
"SBIN",1052,1054.4,1042.9,1052,1042.9,-0.87,4788716,5012157488.56,"15-May-2026"
"INFY",1120,1130.7,1107.2,1120,1110.8,-0.82,6933998,7714142114.98,"10-Jun-2026"
"TATASTEEL",188.05,190.25,186.5,188.01,186.8,-0.64,40921836,7703944845.36,"12-Jun-2026"
"MARUTI",13520,13580,13404,13520,13440,-0.59,315555,4244492438.4,"07-Aug-2026"
"HINDUNILVR",2020,2028,2004.3,2021,2009,-0.59,989046,1988922053.7,"23-Jun-2026"
