"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"BANK10ADD","DSP Mutual Fund - DSP BSE Top 10 Banks ETF",7005600,22115,316.7804657472304,37362,187.50419722326308,17.03,-0.12,119445480
"BBTC","The Bombay Burmah Trading Corporation Limited",6365479,25150,253.10055666003976,32502,195.8455533552617,1619,13.52,10207809433
"IMAGICAA","Imagicaaworld Entertainment Limited",19190470,948760,20.226892605981735,721892,26.58354804667528,58.9,17.38,1100381549
"BOMDYEING","Bombay Dyeing & Mfg Company Limited",6948247,373067,18.624629312108706,394297,17.62183680852001,120.02,7.91,832677920
"ROSSELLIND","Rossell India Limited",1766984,113333,15.591012366158285,71993,24.543644695420927,64.37,4.21,121268111
"AYE","Aye Finance Limited",9692019,635973,15.239654576892859,673565,14.389131079690191,179.59,1.66,1711901315
"MOSCHIP","Moschip Technologies Limited",11001272,726530,15.142199090471978,964684,11.404011938714198,221.62,7.82,2417749547
"TRAVELFOOD","Travel Food Services Limited",393486,32436,12.131088239979036,59782,6.5819145636028535,1359.7,5.58,540881920
"SILVERAXIS","Axis Mutual Fund - Axis Silver ETF",2866835,279575,10.254254818769668,326137,8.790270967885803,235.73,-1.45,670466701
"GKENERGY","GK Energy Limited",4225004,430148,9.822198612804648,390621,10.816118479847479,139.91,4.55,599190067
"SHRIKRISH","Shri Krishna Devcon Limited",960,100,9.552238805970148,486,1.9721524766035152,38.15,-0.13,36633
"SHYAMMETL","Shyam Metalics and Energy Limited",1621955,180498,8.985966655340022,338106,4.797168672398763,1060.5,1.92,1706134464
"ICICIAMC","ICICI Prudential Asset Management Company Limited",3379786,449047,7.526575169191644,355236,9.514191706979146,3108.3,-3.55,10426301831
"NSLNISP","NMDC Steel Limited",27252417,4052942,6.724107327467307,6387668,4.266410814781453,44.25,6.78,1187115284
"INOXINDIA","INOX India Limited",685370,103950,6.593265993265994,103157,6.643927062889795,2061.1,6.98,1386962707
"LPDC","Landmark Property Development Company Limited",255856,44835,5.706528284773283,227288,1.1256876018678692,6.66,-5.53,1691208
"SALONA","Salona Cotspin Limited",4833,866,5.575466256489137,1029,4.69471918050159,268,2.29,1339562
"XTRANET","Xtranet Technologies Limited",3290490,615405,5.346867686897873,862949,3.813072646073241,161.62,1.12,522233667
"JINDWORLD","Jindal Worldwide Limited",5603975,1131814,4.951317861328612,2289223,2.4479802861334945,36.4,4.48,207403114
"BIKAJI","Bikaji Foods International Limited",318659,85624,3.7215722074398196,97221,3.2776766336491088,630,2.92,200739237
"AIRAN","Airan Limited",113967,33962,3.3557046321151476,50842,2.2415555249601713,15.39,3.29,1768767
"WEL","Wonder Electricals Limited",12713252,3836608,3.313669063560602,2561800,4.962623660361608,167.34,7.32,2110526964
"MOGOLD","Motilal Oswal Mutual Fund - Motilal Oswal Gold ETF",129736,40222,3.2254450227069316,42143,3.0784177953798797,156.15,-1.11,20188218
"RAMRAT","Ram Ratna Wires Limited",805107,259271,3.1052700936664124,282639,2.8485282897978665,564.35,7.76,442833003
"KANCHI","Kanchi Karpooram Limited",8978,2939,3.0544341120435474,2850,3.149773553613574,410.1,-0.44,3784047
