"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"ADANIENT",3125,3169,3125,3112,3169,1.83,1793570,5653906582.4,"12-Jun-2026"
"KOTAKBANK",415.75,427.7,415,416.7,424.2,1.8,32914085,13967091969.75,"17-Jul-2026"
"ADANIPORTS",1703,1719,1691.2,1691.5,1714,1.33,2044450,3487463699,"12-Jun-2026"
"CIPLA",1405,1420,1402.1,1402.7,1420,1.23,533212,752762041,"05-Jun-2026"
"BEL",410.8,412.9,408,406.9,411,1.01,9156009,3757626093.6,"13-Aug-2026"
"TMPV",315,319.6,314.15,313.1,316,0.93,8028070,2540803874.3,"19-Jun-2026"
"ICICIBANK",1445,1453.8,1433.1,1430,1443,0.91,11539716,16673966442.72,"03-Aug-2026"
"TECHM",1571.6,1600,1571.6,1571,1585,0.89,1979336,3144848210.24,"03-Jul-2026"
"EICHERMOT",8015,8105.5,7987,8035,8100,0.81,369462,2977948696.26,"31-Jul-2026"
"TITAN",5100,5186.7,5069.5,5100,5139.3,0.77,1101845,5651329949.65,"09-Jul-2026"
"SUNPHARMA",1907.1,1925,1898,1899.5,1913.3,0.73,1107552,2116919515.2,"07-Jul-2026"
"ETERNAL",329,330.9,325.3,327,328.5,0.46,34877860,11457377010,"-"
"MAXHEALTH",1006.1,1012,999.1,1005,1009,0.4,1471151,1477050315.51,"03-Jul-2026"
"APOLLOHOSP",8849,8868,8758.5,8766.5,8800,0.38,270047,2375246996.96,"14-Aug-2026"
"SBILIFE",1769,1798.9,1766.5,1768.2,1773.2,0.28,941103,1677817250.46,"06-Mar-2026"
"ASIANPAINT",2637.9,2655.9,2627.9,2626.5,2631,0.17,525106,1387151515.96,"23-Jun-2026"
"AXISBANK",1260,1268.7,1251.4,1255,1256,0.08,7005789,8823020608.71,"10-Jul-2026"
"BAJAJFINSV",2001.1,2026.6,1997.5,2010,2011,0.05,526392,1055837073.6,"30-Jun-2026"
