Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
AETHER,EQ,1678.5,1.42,1696.1,1692,18-Aug-2026
AKSHARCHEM,BE,366,4.52,366.5,350.4,26-Aug-2026
ALPHA,EQ,55.07,-0.24,55.59,55.3,26-Aug-2026
ALPHAETF,EQ,27.37,-0.18,27.61,27.49,26-Aug-2026
ANTHEM,EQ,929.4,0.69,942.6,927,26-Aug-2026
ASIANENE,EQ,495,3.44,498,491,21-Aug-2026
AUSTENG,EQ,124.49,0.39,134,133.9,19-Aug-2026
BODALCHEM,BE,94.47,4.99,94.47,91.2,26-Aug-2026
BPLPHARMA,EQ,1480.2,-3.96,1649,1619,17-Aug-2026
CALSOFT,EQ,33.81,5,33.81,32.2,26-Aug-2026
CYIENTDLM,EQ,805.7,0.98,810,804.3,26-Aug-2026
DCBBANK,EQ,218.31,2.1,220.5,220.1,26-Aug-2026
DCMNVL,EQ,189,-0.1,198.58,189.3,26-Aug-2026
DIVISLAB,EQ,9071.5,0.52,9150,9043,26-Aug-2026
DSKULKARNI,BE,17.96,1.99,17.96,17.61,26-Aug-2026
ELIQUID,EQ,1045.31,0.01,1045.33,1045.19,26-Aug-2026
EMPIND,EQ,1214.9,-0.56,1234.9,1234,20-Aug-2026
ENEXT50,EQ,74.46,0.12,75.86,75.14,10-Aug-2026
ENTERO,EQ,1746,5.95,1766.3,1667,25-Aug-2026
ESAFSFB,BE,44.5,0.77,44.8,44.7,26-Aug-2026
FRESHARA,ST,428.5,-0.58,445,435,26-Aug-2026
GATECH,BE,1.03,4.04,1.03,1,26-Aug-2026
GCSL,EQ,540.65,0.49,548,542.8,06-Aug-2026
GIPCL,EQ,204.03,1.27,204.5,203.7,26-Aug-2026
GLAXO,EQ,3085,1.67,3096,3054.9,19-Aug-2026
GLENMARK,EQ,2453.9,0.64,2484,2474,29-Apr-2026
GROWWLIQID,EQ,110.52,0.02,112.71,110.99,26-Aug-2026
HFCL,EQ,243.25,3.12,244.82,244.3,25-Aug-2026
IGPL,EQ,531.95,1.55,541,532.45,06-Aug-2026
IMAGICAA,EQ,60.21,19.99,60.21,59.99,26-Aug-2025
IMPEXFERRO,BZ,4.22,1.93,4.22,4.14,26-Aug-2026
INFINIUM,SM,265,-1.38,282.9,269.95,11-Nov-2025
IOLCP,EQ,192.31,3.39,194,187.63,26-Aug-2026
IVZBANKNF,EQ,57.72,0,57.72,57.72,26-Aug-2026
JINDALSAW,EQ,308.05,1.85,316.95,307.9,26-Aug-2026
JNPR,EQ,256.74,-4,282,281.89,21-Aug-2026
JSWSTEEL,EQ,1335.9,-0.38,1351,1341,26-Aug-2026
KENNAMET,EQ,4394.2,1.59,4430,4369,26-Aug-2026
KRISHANA,EQ,194.38,-5.25,206.39,206.13,26-Aug-2026
LAMOSAIC,ST,58.4,-1.18,59.9,59.65,26-Aug-2026
LANCER,EQ,11.8,0.68,12.1,11.99,26-Aug-2026
LAURUSLABS,EQ,1914.3,1.45,1914.5,1898.3,26-Aug-2026
LIQUIDCASE,EQ,115.65,0.02,115.67,115.65,26-Aug-2026
LIQUIDSHRI,EQ,1119,0.01,1119.02,1118.88,26-Aug-2026
MAHASTEEL,BE,1261,2.06,1263,1239,26-Aug-2026
MANBRO,EQ,58.88,-2.24,61.49,60.99,24-Aug-2026
MANGLMCEM,EQ,1062.05,0.41,1089.4,1084.95,24-Aug-2026
MANINDS,EQ,756,7.52,758.85,735,21-Aug-2026
MANIPALHOS,EQ,792.8,-0.28,804,801,26-Aug-2026
MCCHRLS-B,EQ,680,1.49,799,798.7,27-Jul-2026
MEDANTA,EQ,1515.9,3.91,1544,1491,10-Aug-2026
MIDSELIETF,EQ,20.16,0,20.38,20.25,26-Aug-2026
MIDSMALL,EQ,52.61,0.06,52.81,52.77,12-Aug-2026
MIIL,EQ,718,-1.16,742.9,738.45,25-Aug-2026
MILKYMIST,EQ,218.8,-1.49,233.8,222.11,26-Aug-2026
MINALIND,BE,4,4.99,4,3.81,26-Aug-2026
MKEXIM,EQ,63.5,0.19,68.69,65,26-Aug-2026
MOMETAL,EQ,13.46,-1.1,13.74,13.68,26-Aug-2026
MOREPENLAB,EQ,96.28,-0.72,99.75,98.28,24-Aug-2026
NICCOPAR,EQ,92,2.87,95.25,92,26-Aug-2026
NILKAMAL,EQ,2081,-0.75,2118.6,2110,26-Aug-2026
OAL,EQ,424.85,5.88,426.95,413.4,26-Aug-2026
OMAXE,EQ,113.21,3.51,115,112.79,26-Aug-2026
PCCL,SM,380,6.04,386,362,26-Aug-2026
PREMIERPOL,EQ,94,3.54,95.2,94.14,19-Aug-2026
PVP,EQ,62.12,9.99,62.12,56.48,26-Aug-2026
QMSMEDI,BE,154,0.83,155.5,155.5,24-Aug-2026
