"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"IDEA","15.12","15.26","14.91","15.06","15.02","-0.27","20,83,12,350","3,13,92,67,114.50","20-Aug-2024"
"HCC","24.11","26.03","24.11","23.88","25.37","6.24","11,22,51,286","2,83,88,35,022.94","05-Dec-2025"
"PCJEWELLER","11.17","11.32","11.08","11.23","11.16","-0.62","9,78,89,813","1,09,44,08,109.34","16-Dec-2024"
"VOGL","41.89","43.25","41.27","41.21","42.17","2.33","5,13,91,555","2,16,51,26,212.15",
"TATAGOLD","15.54","15.54","15.06","15.55","15.33","-1.41","4,06,43,443","62,14,38,243.47",
"ADANIPOWER","209.15","213.35","207.30","207.20","212.92","2.76","3,63,62,378","7,65,68,25,935.46","22-Sep-2025"
"MILKYMIST","227.39","233.80","218.17","222.11","220.66","-0.65","3,44,09,560","7,75,59,14,824.00",
"SEPC","5.85","5.94","5.69","5.78","5.72","-1.04","3,16,69,871","18,24,18,456.96","23-May-2025"
"GATECH","1.03","1.03","1.02","0.99","1.03","4.04","2,85,88,212","2,91,59,976.24","28-Apr-2025"
"SHAH","3.20","3.78","3.14","3.16","3.62","14.56","2,66,22,170","9,45,08,703.50","27-May-2026"
"NSLNISP","41.44","44.38","41.19","41.44","44.15","6.54","2,65,79,551","1,15,72,73,650.54","17-Sep-2024"
"VISL","38.90","40.38","38.50","38.78","38.98","0.52","2,64,38,837","1,03,98,39,459.21",
"TATSILV","23.94","23.94","22.71","23.36","23.01","-1.50","2,59,34,666","59,59,78,624.68",
"IFCI","85.95","88.20","85.91","85.44","86.70","1.47","2,48,67,813","2,17,12,08,753.03","19-Sep-2024"
"BAJAJHIND","21.90","22.48","21.35","21.78","21.42","-1.65","2,24,87,341","49,02,24,033.80","20-Jun-2024"
"GOLDBEES","131.24","131.49","128.15","132.37","130.32","-1.55","2,20,70,485","2,87,07,07,983.95","19-Dec-2019"
"PINELABS","170.20","173.10","168.50","166.88","169.10","1.33","2,11,65,429","3,62,26,74,827.64",
"IMAGICAA","50.10","59.77","50.05","50.18","58.71","17.00","1,90,69,603","1,09,32,60,339.99","09-Nov-2022"
"GTLINFRA","1.22","1.25","1.21","1.21","1.22","0.83","1,72,67,039","2,10,65,787.58","21-Sep-2015"
"YESBANK","22.40","22.55","22.32","22.38","22.41","0.13","1,66,24,533","37,32,20,765.85","03-Jun-2019"
