"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"BBTC","The Bombay Burmah Trading Corporation Limited",12506906,25150,497.29248508946324,32502,384.79773891835043,1624,13.87,20127989171
"BANK10ADD","DSP Mutual Fund - DSP BSE Top 10 Banks ETF",7073995,22115,319.8731630115306,37362,189.33478269332775,16.98,-0.41,120611614
"VISACHROME","VISA Chrome Limited",4075365,17951,227.01664639637548,18418,221.27076772722336,36.87,-1.15,150747751
"IMAGICAA","Imagicaaworld Entertainment Limited",34180557,948760,36.02655149413419,721892,47.3485266005274,60.21,19.99,1995119112
"WEL","Wonder Electricals Limited",128264919,3836608,33.431846865806364,2561800,50.068269064733805,124.74,-20,19280782624
"BOMDYEING","Bombay Dyeing & Mfg Company Limited",11134848,373067,29.846724856884766,394297,28.239709144432457,116.98,5.18,1330168942
"INOXINDIA","INOX India Limited",2660804,103950,25.596960076960077,103157,25.79364095983982,2151,11.64,5565603726
"BANARBEADS","Banaras Beads Limited",51975,2393,21.71657381615599,2436,21.335410680300033,118.53,6.07,6269744
"MOSCHIP","Moschip Technologies Limited",15141075,726530,20.840242118708456,964684,15.695366868937255,219.14,6.62,3330279446
"ROSSELLIND","Rossell India Limited",2284220,113333,20.15485271345189,71993,31.728122091753175,58.42,-5.42,152608738
"AYE","Aye Finance Limited",12082700,635973,18.998742610412066,673565,17.93842481082349,180.45,2.15,2143108499
"NSLNISP","NMDC Steel Limited",73339100,4052942,18.09527498789768,6387668,11.481357025556246,45.03,8.66,3257722822
"MVELECTRO","MV Electrosystems Limited",12517154,697594,17.943300898874202,998165,12.540153782050261,672.15,19.99,8025873973
"WHIRLPOOL","Whirlpool of India Limited",3535443,232501,15.206141048855704,205347,17.216913004943294,827.85,7.28,2878663753
"TRAVELFOOD","Travel Food Services Limited",483721,32436,14.91301376549839,59782,8.091292433836365,1353.5,5.1,663433025
"ALOKINDS","Alok Industries Limited",49108679,3402870,14.431545780322121,2962789,16.575152331131243,10.31,-8.6,506801567
"GKENERGY","GK Energy Limited",5237812,430148,12.176752912075713,390621,13.40893290684858,141.16,5.48,741778935
"JINDWORLD","Jindal Worldwide Limited",12521857,1131814,11.063520843883621,2289223,5.469913602716411,37.02,6.26,464435676
"SHYAMMETL","Shyam Metalics and Energy Limited",1951462,180498,10.811503686084476,338106,5.771733723670901,1041.2,0.07,2052645304
"RAMRAT","Ram Ratna Wires Limited",2791725,259271,10.767587602940807,282639,9.877330143491424,573,9.41,1567749008
"SILVERAXIS","Axis Mutual Fund - Axis Silver ETF",2996699,279575,10.718759594169963,326137,9.188459126246338,235.57,-1.52,701017797
"RPPINFRA","R.P.P. Infra Projects Limited",518991,49158,10.55753856585862,353418,1.4684898137668485,56.89,-0.51,29504638
"SHRIKRISH","Shri Krishna Devcon Limited",960,100,9.552238805970148,486,1.9721524766035152,38.15,-0.13,36633
"ICICIAMC","ICICI Prudential Asset Management Company Limited",4268243,449047,9.505114163996197,355236,12.015222902861835,3101.3,-3.77,13178200262
"SENSEXAXIS","Axis BSE SENSEX ETF",28788,3273,8.795600366636114,3868,7.4410320276335264,80.29,-0.26,2307933
