"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"HDFCBANK","728.15","728.15","710.00","727.20","711.00","-2.23","4,65,15,020","33,29,54,51,316.00","19-Jun-2026"
"BBTC","1,450.00","1,639.00","1,449.00","1,426.20","1,592.00","11.63","1,43,19,956","23,05,59,88,357.36","20-Feb-2026"
"WEL","157.50","179.20","124.74","155.92","124.74","-20.00","12,95,66,541","19,44,27,55,142.46","20-Feb-2026"
"ICICIBANK","1,445.00","1,453.80","1,433.10","1,430.00","1,443.00","0.91","1,15,39,716","16,67,39,66,442.72","03-Aug-2026"
"BHARTIARTL","1,915.00","1,915.00","1,878.30","1,902.10","1,878.30","-1.25","87,57,645","16,58,26,00,807.50","24-Jul-2026"
"ADANIPOWER","209.15","217.40","207.30","207.20","215.00","3.76","7,00,24,737","14,89,49,61,807.27","22-Sep-2025"
"ICICIAMC","3,099.70","3,118.20","3,060.70","3,222.80","3,093.00","-4.03","47,75,198","14,74,74,82,743.30","12-Jun-2026"
"RELIANCE","1,305.00","1,308.40","1,282.20","1,298.00","1,282.20","-1.22","1,12,71,497","14,56,48,02,993.46","05-Jun-2026"
"KOTAKBANK","415.75","427.70","415.00","416.70","424.20","1.80","3,29,14,085","13,96,70,91,969.75","17-Jul-2026"
"MILKYMIST","227.39","233.80","212.66","222.11","215.15","-3.13","5,92,35,093","13,18,33,62,298.08",
"HINDCOPPER","547.20","552.90","533.15","556.05","538.50","-3.16","2,41,02,873","13,07,67,72,717.42","13-Feb-2026"
"ETERNAL","329.00","330.90","325.30","327.00","328.50","0.46","3,48,77,860","11,45,73,77,010.00",
"NETWEB","5,380.00","5,450.10","5,250.00","5,271.90","5,295.10","0.44","20,77,974","11,07,11,33,775.90","07-Aug-2026"
"WELCORP","2,315.00","2,437.30","2,313.70","2,306.70","2,406.00","4.30","40,76,090","9,79,16,24,158.90","30-Jun-2026"
"INOXINDIA","1,935.90","2,224.00","1,916.90","1,926.70","2,160.30","12.12","44,84,559","9,51,19,73,866.95","09-Jun-2026"
"MVELECTRO","565.50","672.15","559.95","560.15","641.20","14.47","1,46,89,330","9,43,31,93,939.40",
"KALYANKJIL","610.60","635.95","609.90","610.60","629.30","3.06","1,46,31,430","9,15,48,85,751.00","04-Sep-2025"
"AXISBANK","1,260.00","1,268.70","1,251.40","1,255.00","1,256.00","0.08","70,05,789","8,82,30,20,608.71","10-Jul-2026"
"BHEL","416.00","438.20","416.00","415.50","433.95","4.44","1,99,67,976","8,61,33,86,127.36","17-Jul-2026"
"BSE","3,344.00","3,386.60","3,312.10","3,325.60","3,328.00","0.07","24,98,105","8,35,10,90,071.85","10-Jul-2026"
