"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"KOTAKBANK",415.75,427.7,415,416.7,425.25,2.05,26307502,11157274673.22,"17-Jul-2026"
"ADANIENT",3125,3168,3125,3112,3155.2,1.39,1349353,4249584870.55,"12-Jun-2026"
"ICICIBANK",1445,1453.8,1433.1,1430,1447.8,1.24,8733861,12612393992.88,"03-Aug-2026"
"TITAN",5100,5186.7,5069.5,5100,5160.3,1.18,887249,4547177742.47,"09-Jul-2026"
"TECHM",1571.6,1600,1571.6,1571,1586.1,0.96,1601192,2544838493.28,"03-Jul-2026"
"CIPLA",1405,1417.5,1402.1,1402.7,1414.5,0.84,375227,528844933.8,"05-Jun-2026"
"TMPV",315,319.6,314.15,313.1,315.65,0.81,6454230,2042505625.8,"19-Jun-2026"
"ETERNAL",329,330.8,325.3,327,329.65,0.81,27285280,8951481809.6,"-"
"BEL",410.8,412.9,408,406.9,410.05,0.77,7420421,3045340778.4,"13-Aug-2026"
"SBILIFE",1769,1798.9,1766.5,1768.2,1781.6,0.76,746817,1331776351.59,"06-Mar-2026"
"EICHERMOT",8015,8100,7987,8035,8093.5,0.73,220657,1773546083.49,"31-Jul-2026"
"ADANIPORTS",1703,1719,1691.2,1691.5,1703.9,0.73,1645443,2805233498.55,"12-Jun-2026"
"ASIANPAINT",2637.9,2655.9,2627.9,2626.5,2641.5,0.57,419918,1109528335.5,"23-Jun-2026"
"SUNPHARMA",1907.1,1925,1898,1899.5,1909.4,0.52,788858,1507286757.76,"07-Jul-2026"
"AXISBANK",1260,1268.7,1251.4,1255,1260.3,0.42,6112423,7699819253.1,"10-Jul-2026"
"APOLLOHOSP",8849,8868,8758.5,8766.5,8794.5,0.32,182623,1604984061.73,"14-Aug-2026"
"LT",4058,4067.3,4023,4038.1,4050.1,0.3,907142,3668064962.68,"22-May-2026"
"HDFCLIFE",553.1,557,550.7,553,554.05,0.19,1609051,890239646.77,"19-Jun-2026"
"ULTRACEMCO",11674,11815,11674,11717,11731,0.12,246537,2895197398.02,"30-Jul-2026"
"WIPRO",177.35,178.7,176.52,177.35,177.49,0.08,3387719,600845841.84,"27-Jul-2026"
