Symbol ,Series ,LTP ,%chng ,New 52W/L price ,Prev.Low ,Prev. Low Date 
AGSTRA,BZ,1.95,1.04,1.9,1.9,26-Aug-2026
AHLUCONT,EQ,634.6,-2.63,620,620,26-Aug-2026
ALPINETEX,EQ,56.8,1.72,54.6,54.6,26-Aug-2026
ARCL,EQ,232,2.68,220.15,220.15,26-Aug-2026
ARDEE,EQ,56.06,-1.63,55.66,55.66,26-Aug-2026
ARSHIYA,BZ,0.85,-4.49,0.85,0.85,26-Aug-2026
BLEL,EQ,474.5,5.37,431.2,431.2,26-Aug-2026
BLUECLOUDS,EQ,20.22,-9.25,19.8,19.8,26-Aug-2026
BURNPUR,EQ,13.36,9.96,11.13,11.13,26-Aug-2026
CRAVATEX,EQ,335,-2.9,300,300,26-Aug-2026
CREDENT,ST,355.35,4.99,325.7,338.45,25-Aug-2026
DAVANGERE,EQ,2.6,-9.72,2.56,2.56,26-Aug-2026
ELITECON,EQ,12.39,-9.96,12.39,12.39,26-Aug-2026
FASCINATE,ST,103.65,-5,103.65,109.1,25-Aug-2026
FIRSTCRY,EQ,192,-0.02,191.13,191.13,26-Aug-2026
FLEXITUFF,BE,2.7,3.45,2.55,2.55,26-Aug-2026
FLFL,BZ,1.15,2.68,1.1,1.1,26-Aug-2026
GAJA,EQ,170.2,-8,165.4,165.4,26-Aug-2026
GRAPHISAD,SM,26.5,1.92,25.3,25.9,24-Aug-2026
GRAPHISAD,SM,26.5,1.92,25.3,0,-
GUJENERGY,EQ,254,-0.97,252,252,26-Aug-2026
GVKPIL,BE,2.12,-1.85,2.12,2.12,26-Aug-2026
HBPOR,EQ,58.31,-4,48.6,48.6,26-Aug-2026
HGM,EQ,43.77,-0.14,42,42,26-Aug-2026
HORIZONIND,EQ,56.84,2.23,55.13,55.13,26-Aug-2026
INDOTHAI,EQ,51.16,-5,51.16,51.16,26-Aug-2026
INNOVISION,EQ,254.2,-1.26,254.2,254.2,26-Aug-2026
ISHANCH,EQ,43.68,-0.73,41.71,41.71,26-Aug-2026
ITTL,ST,64.2,-1.98,64.2,65.5,25-Aug-2026
JETKNIT,ST,50.95,-4.94,50.95,53.6,25-Aug-2026
KAMAHOLD,EQ,2380,-0.6,2375,2375,26-Aug-2026
KKVAPOW,SM,368,-4.93,368,387.1,24-Aug-2026
LAKSHMIMIL,EQ,8299,3.47,7800.5,7800.5,26-Aug-2026
LALITHAA,EQ,244,-2.35,242.25,242.25,26-Aug-2026
LCCINFOTEC,EQ,3.75,9.97,3.3,3.3,26-Aug-2026
MAKS,SM,13.35,-4.64,13.35,13.35,24-Aug-2026
MAKS,SM,13.35,-4.64,13.35,23,-
MANDEEP,SM,17,-1.45,17,17,24-Aug-2026
MANILAM,SM,48,0.1,46,46,24-Aug-2026
MUKESHB,EQ,145.95,0.72,137.7,137.7,26-Aug-2026
MVELECTRO,EQ,564.1,-0.01,516.55,516.55,26-Aug-2026
MVKAGRO,SM,168.05,5,152.05,160.05,25-Aug-2026
MVKAGRO,SM,168.05,5,152.05,0,-
NATIONSTD,EQ,108.88,-5,108.88,108.88,26-Aug-2026
NEELAM,SM,7.45,-3.87,7.4,7.75,24-Aug-2026
NEELAM,SM,7.45,-3.87,7.4,0,-
NEXTMEDIA,EQ,3.64,-6.91,3.16,3.16,26-Aug-2026
NIFTYJBLK,EQ,12.48,0.48,9.94,9.94,26-Aug-2026
ONIXSOLAR,EQ,287.75,4.16,262.45,262.45,26-Aug-2026
PGHH,EQ,8140,0.63,8066,8066,26-Aug-2026
POLYSIL,SM,50.95,2.52,47.25,49.7,25-Aug-2026
PRISMX,EQ,0.54,0,0.47,0.47,26-Aug-2026
QUICKTOUCH,SM,15.4,-4.94,15.4,110.6,-
QUICKTOUCH,SM,15.4,-4.94,15.4,15.6,20-Aug-2026
RAMKY,EQ,366.8,-1.64,364.25,364.25,26-Aug-2026
REPRO,EQ,310,-0.1,305,305,26-Aug-2026
SHAH,EQ,3.21,0.31,2.56,2.56,26-Aug-2026
SHANKESH,EQ,93.98,-0.89,93.01,93.01,26-Aug-2026
SHANTHALA,SM,14.1,-13.5,14.1,15.7,19-Aug-2026
SHIPROCKET,EQ,132.66,-0.08,129.36,129.36,26-Aug-2026
SHIVACEM,EQ,16.5,-0.96,15.55,15.55,26-Aug-2026
SHRADDHA,EQ,146.8,-1.92,142,142,26-Aug-2026
SILKY,SM,65,0,65,65,25-Aug-2026
SITINET,BZ,0.28,3.7,0.27,0.27,26-Aug-2026
SKYTECH,ST,60.35,-4.96,60.35,63.5,25-Aug-2026
STARCEMENT,EQ,191,-1.97,190.8,190.8,26-Aug-2026
SUN-RE,ST,1.2,-7.69,1.2,1.3,25-Aug-2026
SUNRAKSHAK,EQ,370.9,-0.52,365,365,26-Aug-2026
SUNSHINE,EQ,364.9,-1.16,363.6,363.6,26-Aug-2026
SUNTV,EQ,465,-0.83,464.05,464.05,26-Aug-2026
SVGLOBAL,EQ,124.75,4.48,114.3,114.3,26-Aug-2026
TANAA,EQ,300,0.44,291.25,291.25,26-Aug-2026
TCC,EQ,230.2,-4.97,223.4,223.4,26-Aug-2026
TECILCHEM,EQ,9.53,9.54,8,8,26-Aug-2026
TEJA,SM,286.9,-5,286.9,302,25-Aug-2026
TGL,ST,14.8,4.96,14.1,14.1,25-Aug-2026
TRANSWIND,SM,10.8,-4.85,10.8,11.35,25-Aug-2026
VASUPRADA,EQ,94,-2.16,94,94,26-Aug-2026
VERITAAS,SM,30.1,-4.9,30.1,31.65,25-Aug-2026
VESUVIUS,EQ,422.3,-1.48,420.35,420.35,26-Aug-2026
VGCL,EQ,57,4.86,52.01,52.01,26-Aug-2026
WAAREEINDO,EQ,275.7,0.38,273,273,26-Aug-2026
