"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"ICICIAMC","3,099.70","3,118.20","3,060.70","3,222.80","3,108.10","-3.56","33,74,091","10,40,85,98,362.26","12-Jun-2026"
"BBTC","1,450.00","1,635.00","1,449.00","1,426.20","1,615.00","13.24","63,34,301","10,15,74,31,711.56","20-Feb-2026"
"HDFCBANK","728.15","728.15","717.10","727.20","719.80","-1.02","1,12,20,699","8,08,59,72,320.37","19-Jun-2026"
"MILKYMIST","227.39","233.80","218.17","222.11","220.66","-0.65","3,44,09,560","7,75,59,14,824.00",
"ADANIPOWER","209.15","213.35","207.30","207.20","212.92","2.76","3,63,62,378","7,65,68,25,935.46","22-Sep-2025"
"HINDCOPPER","547.20","552.90","540.10","556.05","544.55","-2.07","1,34,16,923","7,32,44,32,434.93","13-Feb-2026"
"NETWEB","5,380.00","5,450.10","5,256.40","5,271.90","5,283.70","0.22","10,74,080","5,74,58,23,182.40","07-Aug-2026"
"WELCORP","2,315.00","2,437.30","2,313.70","2,306.70","2,387.90","3.52","23,81,843","5,71,58,03,920.82","30-Jun-2026"
"KOTAKBANK","415.75","427.70","415.00","416.70","424.55","1.88","1,31,19,962","5,54,93,50,327.14","17-Jul-2026"
"BSE","3,344.00","3,386.60","3,330.50","3,325.60","3,332.80","0.22","13,05,895","4,38,58,74,475.40","10-Jul-2026"
"GVT&D","4,420.20","4,539.00","4,420.20","4,340.00","4,454.60","2.64","9,46,728","4,24,39,16,540.16","21-Aug-2026"
"BHARTIARTL","1,915.00","1,915.00","1,893.50","1,902.10","1,901.80","-0.02","20,66,621","3,92,92,87,173.51","24-Jul-2026"
"SILVERBEES","228.90","228.98","223.76","230.13","226.84","-1.43","1,63,07,351","3,69,27,99,633.95",
"HSCL","663.90","676.60","657.50","663.85","671.00","1.08","55,23,718","3,67,26,09,623.84","22-May-2026"
"MCX","3,330.00","3,362.00","3,285.30","3,350.00","3,291.60","-1.74","11,03,695","3,67,04,81,202.85","28-Aug-2026"
"PINELABS","170.20","173.10","168.50","166.88","169.10","1.33","2,11,65,429","3,62,26,74,827.64",
"BHEL","416.00","436.00","416.00","415.50","435.65","4.85","77,05,526","3,29,80,42,183.26","17-Jul-2026"
"ETERNAL","329.00","330.80","325.30","327.00","327.00","-","97,08,210","3,18,04,09,596.00",
"IDEA","15.12","15.26","14.91","15.06","15.02","-0.27","20,83,12,350","3,13,92,67,114.50","20-Aug-2024"
"ICICIBANK","1,445.00","1,445.00","1,433.10","1,430.00","1,442.30","0.86","21,34,210","3,07,30,06,294.80","03-Aug-2026"
