Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
ABGSEC,EQ,114.51,0.03,118,118,26-Aug-2026
ADDIND,EQ,84,-3.33,94.6,94.6,26-Aug-2026
AEROFLEX,EQ,537.2,8.36,542,542,26-Aug-2026
AKANKSHA,SM,130,-2.8,139.5,133.75,25-Aug-2026
AKANKSHA,SM,130,-2.8,139.5,147.8,-
AKIKO,SM,412,0.3,412.95,411,25-Aug-2026
AKIKO,SM,412,0.3,412.95,0,-
AKSHARCHEM,BE,350.4,5,350.4,350.4,26-Aug-2026
ALPHA,EQ,55.1,0.9,55.3,55.3,26-Aug-2026
ALPHAETF,EQ,27.36,0.7,27.49,27.49,26-Aug-2026
ALUFLUOR,EQ,454.45,0.54,475,475,26-Aug-2026
ANDREWYU,EQ,29.5,10.24,30.49,30.49,26-Aug-2026
ANTHEM,EQ,927,5.98,927,927,26-Aug-2026
ARHAM,SM,214.5,0.37,220.05,215.95,25-Aug-2026
ARIES,EQ,493.95,10.57,517.9,517.9,26-Aug-2026
BAHETI,SM,832.85,-1.07,855,843.9,25-Aug-2026
BAHETI,SM,832.85,-1.07,855,0,-
BALAMINES,EQ,2414,3,2461,2461,26-Aug-2026
BODALCHEM,BE,90,3.39,91.2,91.2,26-Aug-2026
BOSCHLTD,EQ,48895,0.44,49190,49190,26-Aug-2026
CALSOFT,EQ,32.2,4.99,32.2,32.2,26-Aug-2026
CFEL,EQ,32.75,8.95,35.2,35.2,26-Aug-2026
CLSL,ST,92,4.66,92.25,87.9,25-Aug-2026
CORDELIA,EQ,109.65,4.98,109.65,109.65,26-Aug-2026
CYIENTDLM,EQ,803.5,4.44,804.3,804.3,26-Aug-2026
DCBBANK,EQ,214.45,3.41,220.1,220.1,26-Aug-2026
DCMNVL,EQ,188.15,4.36,189.3,189.3,26-Aug-2026
DHOOTTRANS,EQ,1569,3.1,1665.2,1665.2,26-Aug-2026
DIVISLAB,EQ,9025,3.21,9043,9043,26-Aug-2026
DSKULKARNI,BE,17.61,1.97,17.61,17.61,26-Aug-2026
EASTWEST,EQ,2.56,3.23,2.68,2.68,26-Aug-2026
EBIX,EQ,21.48,-1.24,22.83,22.83,26-Aug-2026
ELIQUID,EQ,1045.17,0,1045.19,1045.19,26-Aug-2026
