Symbol ,Series ,LTP ,%chng ,New 52W/L price ,Prev.Low ,Prev. Low Date 
ABFRL,EQ,53.77,-1.38,53.47,53.51,30-Mar-2026
ABHAPOWER,SM,24,0,23,23,24-Aug-2026
AGSTRA,BZ,1.98,2.59,1.88,1.9,26-Aug-2026
AGUL,SM,48.45,-5,48.45,49.6,09-Jul-2026
ALOKINDS,EQ,10.3,-8.69,9.55,11.11,30-Mar-2026
ARSHIYA,BZ,0.84,-1.18,0.83,0.85,26-Aug-2026
ASTRAZEN,EQ,7166,0.18,7070,7110,25-Aug-2026
AXTEL,EQ,400,-1.55,390,400,20-Aug-2026
BIOPOL,SM,73.4,-17.25,71,84,08-Jul-2026
BLUEPEBBLE,SM,61.5,-9.56,60.65,65.5,25-Aug-2026
BNAGROCHEM,EQ,223,-3.06,219.05,221.15,18-Aug-2026
DABUR,EQ,387.85,-1.11,387.3,392.15,25-Aug-2026
DAVANGERE,EQ,2.12,-20,2.12,2.56,26-Aug-2026
DIGIKORE,SM,35.1,-7.39,32,32.4,10-Aug-2026
ELITECON,EQ,11.78,-4.92,11.78,12.39,26-Aug-2026
FASCINATE,ST,98.5,-4.97,98.5,103.65,26-Aug-2026
FIRSTCRY,EQ,188.58,-1.76,188.34,191.13,26-Aug-2026
FMCGADD,EQ,47.3,-0.8,47.26,47.45,24-Aug-2026
GGBL,SM,219.5,-4.04,211,215,30-Mar-2026
GUJENERGY,EQ,249.5,-1.75,249.3,252,26-Aug-2026
GVKPIL,BE,2.08,-1.89,2.08,2.12,26-Aug-2026
HAZOOR,EQ,20.08,-1.38,17.44,19.24,24-Aug-2026
HDFCBANK,EQ,714.05,-1.81,710,715.1,19-Aug-2026
HINDUNILVR,EQ,2009.9,-0.55,2004.3,2006.2,24-Aug-2026
ICELCO,SM,126.95,-7.03,125,131,11-Aug-2026
INDOTHAI,EQ,48.61,-4.98,48.61,51.16,26-Aug-2026
INNOVISION,EQ,251.6,-1.26,251.05,254.2,26-Aug-2026
INOXWIND,EQ,71.7,-2.05,71.41,72.7,11-Aug-2026
IRFC,EQ,84.74,-1.12,84.5,85,19-Aug-2026
JETKNIT,ST,48.45,-4.91,48.45,50.95,26-Aug-2026
KLL,SM,21.6,-2.7,21.05,21.2,13-Aug-2026
LALITHAA,EQ,248.75,1.95,240.35,242.25,26-Aug-2026
LANDSMILL,EQ,0.7,0,0.68,0.69,25-Aug-2026
LKPSEC,EQ,15.85,2.72,14.51,15.05,25-Aug-2026
MANDEEP,SM,16.15,-5,16.15,17,26-Aug-2026
MOOILGAS,EQ,11.09,-0.81,10.9,11.1,19-Aug-2026
NATIONSTD,EQ,103.44,-5,103.44,108.88,26-Aug-2026
NFPSAMPOOR,SM,21.8,-1.13,21.8,21.85,01-Jul-2026
POLYSPIN,EQ,29.29,-0.71,28,28,21-Aug-2026
PRAXIS,EQ,5,-2.53,4.97,5.05,25-Aug-2026
QUICKTOUCH,SM,16.15,4.87,15.4,15.4,26-Aug-2026
RAMKY,EQ,365.2,-0.27,361.35,364.25,26-Aug-2026
REPRO,EQ,310.7,0.99,305,305,26-Aug-2026
RVNL,EQ,217.4,-1.8,217,217.02,25-Aug-2026
SAB,EQ,170,-1.73,170,170,25-Aug-2026
SAICAPI,EQ,140.61,-3.09,140.5,145,21-Aug-2026
SGLRES,EQ,2.33,-2.1,2.28,2.28,20-Aug-2026
SHANKESH,EQ,91.56,-2.33,91.05,93.01,26-Aug-2026
SILKY,SM,69.05,6.23,62,65,26-Aug-2026
SILVER001,EQ,24.29,-0.74,23.47,24.01,25-Aug-2026
SITINET,BZ,0.27,0,0.27,0.27,26-Aug-2026
SKYTECH,ST,57.35,-4.97,57.35,60.35,26-Aug-2026
SOLEX,EQ,764.5,-2.17,753.05,766.15,20-Aug-2026
STARCEMENT,EQ,187.74,-1.79,186,190.8,26-Aug-2026
SUN-RE,ST,1.1,-8.33,1.1,1.2,26-Aug-2026
SUNSHIEL,EQ,1170.5,-1.53,1147.5,1151.1,17-Aug-2026
SUNTV,EQ,464.2,-0.2,461.8,464.05,26-Aug-2026
SWANCORP,EQ,298.2,-0.65,295.65,295.65,30-Mar-2026
TRU,EQ,4.05,-1.94,3.99,4,14-Aug-2026
VIVOBIOT,EQ,18.83,1.78,17.51,18.25,25-Aug-2026
WAAREEINDO,EQ,273.5,-0.6,272.55,273,26-Aug-2026
