"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HINDALCO",1060.5,1061.8,1023.6,1053,1024.5,-2.71,1904742,1980436447.08,"10-Jul-2026"
"HDFCBANK",728.15,728.15,710,727.2,715.5,-1.61,31723510,22740046438.2,"19-Jun-2026"
"NTPC",335,335.95,328.4,334.6,329.5,-1.52,9297065,3071843246.65,"02-Sep-2026"
"SHRIRAMFIN",1112,1127.5,1091.5,1117.5,1102.5,-1.34,3300819,3636512292.3,"03-Jul-2026"
"M&M",3410,3420,3351,3398.2,3352.7,-1.34,1212388,4088111716.6,"03-Jul-2026"
"TRENT",2908.2,2923.5,2870.2,2908.2,2870.3,-1.3,360876,1043693088.36,"12-Jun-2026"
"TATACONSUM",1041,1048.4,1035.6,1047.1,1037.7,-0.9,691837,719296010.53,"25-May-2026"
"GRASIM",3289,3299.8,3266.2,3299.9,3270.6,-0.89,498173,1634435868.78,"07-Aug-2026"
"COALINDIA",403.5,404.95,400.05,403.5,400.15,-0.83,2505527,1006445140.63,"04-Sep-2026"
"INFY",1120,1130.7,1108.3,1120,1112,-0.71,4438453,4946034485.08,"10-Jun-2026"
"MARUTI",13520,13580,13404,13520,13425,-0.7,209881,2822947722.63,"07-Aug-2026"
"DRREDDY",1182,1191.9,1171.1,1182,1173.7,-0.7,679593,802884762.06,"10-Jul-2026"
"SBIN",1052,1054.4,1043.4,1052,1045.1,-0.66,2831093,2965032009.83,"15-May-2026"
"JIOFIN",242,242.65,239,241,239.4,-0.66,5355544,1286830112.32,"10-Aug-2026"
"BHARTIARTL",1915,1915,1881.4,1902.1,1889.7,-0.65,5457018,10359657541.38,"24-Jul-2026"
"INDIGO",5255,5258.5,5200,5250.5,5218.5,-0.61,215928,1126755489.6,"13-Aug-2025"
"HCLTECH",1295,1304.7,1280,1298.5,1291.1,-0.57,1329894,1712052339.84,"17-Jul-2026"
"TCS",2270,2283.6,2243.9,2270,2257.4,-0.56,1239535,2796068680.9,"15-Jul-2026"
"RELIANCE",1305,1308.4,1287,1298,1291,-0.54,6757619,8748008100.26,"05-Jun-2026"
"HINDUNILVR",2020,2028,2004.3,2021,2010.7,-0.51,638506,1284144112.02,"23-Jun-2026"
