"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"IDEA","15.12","15.26","14.91","15.06","14.95","-0.73","30,55,24,631","4,59,50,90,450.24","20-Aug-2024"
"HCC","24.11","26.03","24.11","23.88","25.64","7.37","16,92,08,629","4,28,43,62,486.28","05-Dec-2025"
"PCJEWELLER","11.17","11.32","11.08","11.23","11.14","-0.80","15,89,69,955","1,77,72,84,096.90","16-Dec-2024"
"VOGL","41.89","43.30","41.27","41.21","41.99","1.89","8,50,03,372","3,59,81,92,736.76",
"WEL","157.50","179.20","140.11","155.92","141.89","-9.00","7,28,56,481","12,00,23,76,679.94","20-Feb-2026"
"NSLNISP","41.44","45.48","41.19","41.44","45.09","8.81","6,82,92,856","3,03,01,54,020.72","17-Sep-2024"
"TATAGOLD","15.54","15.54","15.06","15.55","15.33","-1.41","6,10,09,759","93,22,29,117.52",
"ADANIPOWER","209.15","216.70","207.30","207.20","214.62","3.58","5,94,76,631","12,62,80,78,293.92","22-Sep-2025"
"GATECH","1.03","1.03","1.02","0.99","1.03","4.04","5,51,21,408","5,62,23,836.16","28-Apr-2025"
"TATSILV","23.94","23.94","22.71","23.36","23.02","-1.46","5,47,06,542","1,25,66,09,269.74",
"MILKYMIST","227.39","233.80","216.25","222.11","218.70","-1.54","4,61,65,762","10,35,63,65,389.46",
"ALOKINDS","11.35","11.35","9.55","11.28","10.24","-9.22","4,59,78,588","47,49,58,814.04",
"SEPC","5.85","5.94","5.65","5.78","5.76","-0.35","4,58,32,635","26,35,37,651.25","23-May-2025"
"VISL","38.90","40.38","38.33","38.78","38.36","-1.08","3,80,46,745","1,49,18,12,871.45",
"SHAH","3.20","3.78","3.14","3.16","3.71","17.41","3,52,17,706","12,60,79,387.48","27-May-2026"
"GOLDBEES","131.24","131.49","128.15","132.37","130.42","-1.47","3,30,33,942","4,29,47,42,799.42","19-Dec-2019"
"IFCI","85.95","88.20","85.71","85.44","85.87","0.50","3,26,98,395","2,84,73,76,236.60","19-Sep-2024"
"BAJAJHIND","21.90","22.48","21.10","21.78","21.15","-2.89","3,24,68,593","70,26,20,352.52","20-Jun-2024"
"TATASTEEL","188.05","190.25","187.32","188.01","187.77","-0.13","3,24,53,220","6,11,93,79,163.20","12-Jun-2026"
"SAGILITY","44.13","45.23","44.13","44.00","44.22","0.50","3,24,47,349","1,44,94,23,079.83","07-Aug-2026"
