"SYMBOL","SECURITY NAME","TODAY - VOLUME","PAST WEEK - AVERAGE VOLUME","PAST WEEK - CHANGE","PAST 2 WEEK - AVERAGE VOLUME","PAST 2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHANGE","TODAY - VALUE"
"ASHOKA","Ashoka Buildcon Limited",34897740,437012,79.85526268819832,459073,76.0177949795817,126.83,12.59,4375129663
"ALIVUS","Alivus Life Sciences Limited",773095,44673,17.305488277140313,68869,11.225587710000145,1400.4,3.72,1102696322
"INNOVISION","Innovision Limited",257543,15159,16.98899692599971,14857,17.33409164333405,273.15,10.48,73665024
"DIFFNKG","Diffusion Engineers Limited",981934,59479,16.50869707026587,71640,13.706409084247039,451.05,9.74,440397399
"SGRL","Shree Ganesh Remedies Limited",53542,4873,10.985678525996143,5865,9.127825701524088,616.9,13.69,33896369
"NEXTMEDIA","Next Mediaworks Limited",637898,86599,7.366044725276502,49381,12.917700281683295,5.08,9.96,3348964
"NIACL","The New India Assurance Company Limited",8942590,1431544,6.246812882646183,1432839,6.241165271930609,197.19,5.82,1748812900
"VIMTALABS","Vimta Labs Limited",618889,104785,5.9062747530658015,114897,5.386467879927239,648.35,4.96,403577516
"SHRJAGP","Shri Jagdamba Polymers Limited",3437,624,5.500960307298335,623,5.510662177328844,625.15,-7.12,2108840
"SEMAC","Semac Construction Limited",1524,288,5.2770083102493075,843,1.8063292639563826,278.95,-3.14,419450
"SECMARK","SecMark Consultancy Limited",72649,15107,4.808771744022876,8113,8.953757795360989,168.6,11.43,12342338
"JUSTDIAL","Just Dial Limited",964829,217433,4.4373500691705425,189446,5.092886431201649,710,0.77,684719844
"LANCER","Lancer Container Lines Limited",2078358,480243,4.327721590944584,346418,5.999551410156894,13.2,14.78,27766862
"NORTHARC","Northern Arc Capital Limited",10108604,2464730,4.101301448417815,1542473,6.553501690174685,309.7,8.38,3102633825
"SWARNSAR","Swarnsarita Jewels India Limited",10114,2579,3.920762908978136,4742,2.1324506103860505,33.85,-1.63,342864
"PDMJEPAPER","Pudumjee Paper Products Limited",582010,148859,3.909796761239129,128427,4.5318069763711595,95.83,0.89,56559731
"VENKEYS","Venky's (India) Limited",239777,61606,3.892079394348639,42232,5.677573800148227,1687,7.32,398348723
"SUMEDHA","Sumedha Fiscal Services Limited",6647,1736,3.828917050691244,2659,2.4989661265461107,40,1.86,265148
"TARIL","Transformers And Rectifiers (India) Limited",7169650,1875402,3.822992460392238,1631325,4.394984324097184,312.3,2.92,2286616474
"WEIZMANIND","Weizmann Limited",2685,721,3.7208980044345896,641,4.1855027279812935,73,-1.47,197052
"BAJAJHCARE","Bajaj Healthcare Limited",168126,49943,3.366344166973682,57615,2.918089181481938,331,2.8,56135590
"AVANTEL","Avantel Limited",1680562,518605,3.2405383819463647,691938,2.428772953442263,161.72,3.14,273746744
"UEL","Ujaas Energy Limited",54623,17032,3.207043130071277,11568,4.72170117128409,198.79,5,10770563
"SUNLOC","Sunil Healthcare Limited",1218,381,3.1926605504587156,258,4.707246376811594,80,5.36,97476
"IPRINGLTD","IP Rings Limited",5503,1774,3.100980502648484,1692,3.252171857455233,141,-2.76,775923
