"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHANGE 
","VOLUME 
(Shares)","VALUE ","CA 
"
"IDEA","14.78","14.92","14.33","14.68","14.33","-2.38","41,92,38,465","6,15,44,20,666.20","20-Aug-2024"
"PCJEWELLER","10.88","11.14","10.69","10.94","10.93","-0.09","35,38,25,112","3,87,08,46,725.28","16-Dec-2024"
"ETERNAL","328.80","332.95","315.80","328.00","328.10","0.03","27,21,51,922","88,97,73,49,378.68","-"
"GROWW","192.00","195.00","190.03","191.46","193.70","1.17","23,54,95,223","45,25,51,17,003.91","-"
"OLAELEC","39.00","42.25","38.31","38.98","40.90","4.93","17,83,57,536","7,25,38,00,989.12","-"
"GATECH","1.11","1.11","1.10","1.06","1.11","4.72","17,11,70,871","18,82,87,958.10","28-Apr-2025"
"RTNPOWER","7.97","8.13","7.39","7.95","7.56","-4.91","12,68,79,538","96,17,46,898.04","22-Sep-2023"
"BAJAJHIND","21.75","23.10","21.04","21.67","22.55","4.06","11,23,87,038","2,51,52,21,910.44","20-Jun-2024"
"LENSKART","646.00","674.90","640.95","636.15","663.00","4.22","11,17,14,980","73,87,37,64,824.60","-"
"ZEEL","101.00","101.18","86.90","101.51","93.74","-7.65","10,92,54,600","10,12,24,38,690.00","29-Aug-2025"
"YESBANK","22.07","22.83","21.98","22.10","22.83","3.30","10,20,20,136","2,27,09,68,227.36","03-Jun-2019"
"ASHOKA","117.70","129.00","116.91","112.65","119.74","6.29","9,84,68,036","12,28,97,95,573.16","20-Sep-2024"
"HDFCBANK","723.05","739.75","704.15","720.30","709.00","-1.57","7,81,57,067","56,34,34,29,600.30","19-Jun-2026"
"MANALIPETC","75.00","84.80","73.62","73.36","84.00","14.50","7,34,02,171","6,04,98,06,933.82","08-Sep-2025"
"TATAGOLD","15.36","15.36","14.72","15.36","14.99","-2.41","7,18,79,880","1,07,24,47,809.60","-"
"SAGILITY","46.50","47.49","45.85","46.34","47.05","1.53","6,49,18,282","3,03,23,32,952.22","07-Aug-2026"
"ALOKINDS","9.30","9.30","8.37","9.24","8.71","-5.74","6,36,42,007","55,62,31,141.18","-"
"SUZLON","46.79","47.52","45.92","46.79","47.52","1.56","5,99,11,853","2,78,65,00,283.03","03-Sep-2024"
"GMRAIRPORT","97.85","98.00","93.63","98.31","93.63","-4.76","5,97,24,643","5,65,35,34,706.38","05-Sep-2024"
"SHIPROCKET","124.74","141.99","124.05","125.40","139.80","11.48","5,58,99,452","7,53,69,23,113.16","-"
