"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHANGE 
","VOLUME 
(Shares)","VALUE ","CA 
"
"IDEA","14.78","14.92","14.63","14.68","14.77","0.61","14,32,00,703","2,11,22,10,369.25","20-Aug-2024"
"PCJEWELLER","10.88","11.14","10.85","10.94","10.95","0.09","10,51,39,552","1,15,33,80,885.44","16-Dec-2024"
"GATECH","1.11","1.11","1.10","1.06","1.11","4.72","4,50,79,886","4,95,87,874.60","28-Apr-2025"
"ASHOKA","117.70","128.30","116.91","112.65","126.96","12.70","3,45,30,447","4,32,83,91,531.45","20-Sep-2024"
"TATSILV","23.18","23.18","22.23","23.37","22.42","-4.07","2,81,90,863","63,28,84,874.35","-"
"HDFCBANK","723.05","739.75","723.05","720.30","731.20","1.51","2,67,32,919","19,60,61,90,123.79","19-Jun-2026"
"TATAGOLD","15.36","15.36","14.72","15.36","14.86","-3.26","2,61,45,951","38,95,74,669.90","-"
"IFCI","90.20","92.14","89.25","89.96","90.45","0.54","2,32,83,369","2,10,64,46,393.43","19-Sep-2024"
"RTNPOWER","7.97","8.13","7.56","7.95","7.59","-4.53","1,94,03,094","15,17,32,195.08","22-Sep-2023"
"ALOKINDS","9.30","9.30","8.77","9.24","8.85","-4.22","1,90,90,093","17,00,92,728.63","-"
"GOLDBEES","127.79","127.79","126.15","130.85","126.16","-3.58","1,87,54,154","2,37,52,13,604.10","19-Dec-2019"
"ZEEL","101.00","101.18","93.34","101.51","93.42","-7.97","1,85,90,078","1,77,51,66,548.22","29-Aug-2025"
"HCC","24.50","24.80","24.01","24.64","24.69","0.20","1,79,38,104","43,67,92,832.40","05-Dec-2025"
"OLAELEC","39.00","39.48","38.31","38.98","38.58","-1.03","1,76,61,533","68,57,97,326.39","-"
"GTLINFRA","1.20","1.21","1.19","1.20","1.20","-","1,63,07,042","1,94,05,379.98","21-Sep-2015"
"YESBANK","22.07","22.14","22.02","22.10","22.11","0.05","1,52,97,582","33,74,64,658.92","03-Jun-2019"
"BAJAJHIND","21.75","21.84","21.04","21.67","21.38","-1.34","1,45,23,008","31,09,37,601.28","20-Jun-2024"
"SAGILITY","46.50","46.80","45.85","46.34","46.00","-0.73","1,32,92,583","61,53,13,667.07","07-Aug-2026"
"ETERNAL","328.80","332.95","323.60","328.00","324.65","-1.02","1,26,30,408","4,13,89,84,701.60","-"
"JPPOWER","16.80","16.82","16.47","16.82","16.49","-1.96","1,23,02,421","20,40,97,164.39","26-Aug-2024"
