"SYMBOL","SECURITY NAME","TODAY - VOLUME","PAST WEEK - AVERAGE VOLUME","PAST WEEK - CHANGE","PAST 2 WEEK - AVERAGE VOLUME","PAST 2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHANGE","TODAY - VALUE"
"MIDCAPADD","DSP Mutual Fund - DSP Nifty Midcap 150 ETF",2957500,5960,496.20818093352574,45758,64.63265921597252,23.56,-0.17,69323800
"ASHOKA","Ashoka Buildcon Limited",98468036,437012,225.32091995558937,459073,214.49305808026736,119.74,6.29,12289795573
"DIFFNKG","Diffusion Engineers Limited",7817913,59479,131.43811848728475,71640,109.12700218451853,493.2,20,3656047014
"MANALIPETC","Manali Petrochemicals Limited",73402171,841907,87.18556340044047,2327880,31.531759403811346,84,14.5,6049806933
"TNPETRO","Tamilnadu PetroProducts Limited",21800591,313607,69.51550600176782,538515,40.48274738930497,120.2,7.93,2665994273
"BBETF0432","Edelweiss Mutual Fund - BHARAT Bond ETF - April 2032 - Growth",244260,4369,55.90753032730602,2785,87.68982229402262,1331.52,-0.82,325527744
"AYMSYNTEX","AYM Syntex Limited",1511986,31424,48.11503163147108,36287,41.66685497760937,282.5,11.05,421435857
"PAR","Par Drugs and Chemicals Limited",325805,7864,41.42782666191954,8712,37.39469274384225,117,16.75,37816186
"VASUPRADA","Shri Vasuprada Plantations Limited",2005,50,40.1,284,7.039204212990053,97,2.65,194485
"DGCONTENT","Digicontent Limited",202212,5263,38.417052967550724,9527,21.22514957489241,25.1,5.24,5465790
"INFRAIETF","ICICI Prudential Mutual Fund-ICICI Prudential Nifty Infrastructure ETF",13176892,422762,31.168567104627613,280042,47.05313616347215,94.65,-0.15,1245216294
"SGRL","Shree Ganesh Remedies Limited",143393,4873,29.421190857236653,5865,24.44559991816973,606,11.68,88665627
"ALIVUS","Alivus Life Sciences Limited",1220512,44673,27.320777017195915,68869,17.722226255644774,1400,3.69,1732504578
"BALKRISIND","Balkrishna Industries Limited",9682350,361595,26.776751031677946,234051,41.36853020558331,2300,-1.71,22098124228
"ASTRAL","Astral Limited",11516278,465912,24.717710640636,395353,29.129094978640612,1522.2,-0.66,17606316131
"VIMTALABS","Vimta Labs Limited",2416378,104785,23.06034260628907,114897,21.03081890736921,642,3.93,1587632837
"ULTRAMAR","Ultramarine & Pigments Limited",1925042,84625,22.74780385085329,75137,25.62039258901395,444.05,7.96,204562674
"INNOVISION","Innovision Limited",344387,15159,22.717719698668812,14857,23.179181025199224,272.1,10.05,97506291
"VENKEYS","Venky's (India) Limited",1282528,61606,20.818096821109496,42232,30.368414696807893,1698,8.02,2171986818
"SBINEQWETF","SBI Mutual Fund - SBI Nifty50 Equal Weight ETF",409974,19812,20.693216232586312,21044,19.4817525185326,33.35,-0.8,13668533
"NIACL","The New India Assurance Company Limited",26274670,1431544,18.35407270637222,1432839,18.33747917945886,191.9,2.98,5151937293
"ASIANHOTNR","Asian Hotels (North) Limited",1007905,63965,15.756985004439887,36076,27.938147759055113,357,12.99,368177617
"NEXTMEDIA","Next Mediaworks Limited",1347728,86599,15.562714925438627,49381,27.29205353400146,4.9,6.06,7021662
"KALYANIFRG","Kalyani Forge Limited",60208,3952,15.234817813765183,4289,14.035480336620276,914.3,19.99,52595300
"LTTS","L&T Technology Services Limited",685826,45080,15.213396509347744,71995,9.525996177522947,3632.9,1.8,2472471312
