SYMBOL ,SERIES ,LTP ,%CHANGE ,NEW 52W/H PRICE ,PREV. HIGH ,PREV. HIGH DATE 
3BBLACKBIO,EQ,1461.9,1.44,1510,1463,28-Aug-2026
ADOR,EQ,1706,4.3,1766.4,1701.9,20-Aug-2026
AKIKO,SM,389,-5.12,413,412.95,26-Aug-2026
AKUMS,EQ,778,0.7,785,783,25-Aug-2026
ALBERTDAVD,EQ,897.5,-0.12,931.85,912,28-Aug-2026
ALIVUS,EQ,1404.3,4.01,1493.8,1418,11-Aug-2026
ALUFLUOR,EQ,482.5,0.96,489,484,28-Aug-2026
ARHAM,SM,212.9,-1.16,223.75,220.05,26-Aug-2026
ASIANTNE,EQ,10.37,-4.78,10.99,10.99,28-Aug-2026
ATHERENERG,EQ,1660.9,2.76,1703.9,1630,28-Aug-2026
AUGMONT,EQ,915.75,-4.71,1019.8,0,-
AUROPHARMA,EQ,1685.1,2.42,1703,1682.4,13-Aug-2026
AVALON,EQ,2371,6.24,2377.9,2351,20-Aug-2026
AYMSYNTEX,EQ,281,10.46,294.7,281.22,02-Jul-2026
BAFNAPH,BE,305.5,4.95,305.65,291.35,28-Aug-2026
BAJAJ-AUTO,EQ,11994,0.71,12040,11974,28-Aug-2026
BHAGERIA,BE,250.68,5,250.68,244.6,24-Oct-2025
BIRLACABLE,BE,309.86,5,309.86,308.25,13-Aug-2026
BLISSGVS,BE,617.5,5,617.5,602.45,20-Aug-2026
BLSE,EQ,327.7,0.44,331.3,328.9,28-Aug-2026
BODALCHEM,EQ,118.89,19.99,118.89,99.19,28-Aug-2026
CALSOFT,EQ,37.27,4.99,37.27,35.5,28-Aug-2026
CNL,EQ,1279.6,3.01,1328,1275,18-Aug-2026
COFORGE,EQ,1980.2,-1.71,2021.2,2016.5,28-Aug-2026
COMSYN,EQ,295.25,4.7,301,298,17-Aug-2026
CORDSCABLE,EQ,283.94,13.02,299.9,259.8,25-Aug-2026
CRAFTSMAN,EQ,11100.5,-0.16,11500,11199.5,28-Aug-2026
CYIENTDLM,EQ,842.95,2.91,848,836.3,28-Aug-2026
DIFFNKG,EQ,477.95,16.29,479.9,453.9,07-Aug-2026
DYCL,EQ,494.8,1.48,503.25,491,28-Aug-2026
ELIQUID,EQ,1045.87,0.01,1045.88,1045.75,28-Aug-2026
ENEXT50,EQ,73.26,-1,76,75.86,27-Aug-2026
ETL,SM,1110,0.54,1125,1120,28-Aug-2026
FCL,EQ,50.94,1.82,52.21,51.38,24-Aug-2026
FMGOETZE,EQ,624.45,3.72,641.1,614.8,28-Aug-2026
FORCAS,ST,224.7,5,224.7,217.95,19-Aug-2026
FRESHARA,ST,446,1.62,458.95,447.7,28-Aug-2026
GATECH,BE,1.11,4.72,1.11,1.07,28-Aug-2026
GCSL,EQ,559.55,3.37,561.95,548,27-Aug-2026
GFSTEELS,BE,15,0,15,15,24-Aug-2026
GHCLTEXTIL,EQ,134.26,2.65,137,132.04,28-Aug-2026
GIPCL,EQ,199.7,-3.02,207.2,206.8,28-Aug-2026
GKSL,EQ,157.56,-1.92,163.99,163.44,28-Aug-2026
HALDYNGL,BE,140,0.51,143,140.23,28-Aug-2026
HAPPYFORGE,EQ,2410.2,4.47,2422,2340,19-Aug-2026
HATSUN,EQ,1189.7,1.16,1198,1196.55,28-Aug-2026
HBPOR,EQ,60,-2.9,65,63.99,21-Aug-2026
HEALTHCARE,EQ,21.73,-0.73,22.43,22.29,19-Aug-2026
HFCL,EQ,248.3,-1.26,256.7,255.1,28-Aug-2026
ICIL,EQ,470.7,8.22,471.5,463.8,03-Jul-2026
IGPL,EQ,533.65,0.23,544.9,541,27-Aug-2026
IMPEXFERRO,BZ,4.38,1.86,4.38,4.3,28-Aug-2026
INDGN,EQ,613.15,5.91,615.5,596.8,17-Sep-2025
INGERRAND,EQ,4850,-0.21,4934.9,4899,28-Aug-2026
IOLCP,EQ,193.74,-0.62,197.99,197,28-Aug-2026
IPRINGLTD,EQ,158,8.97,159.01,155.98,26-Aug-2026
IVP,BE,200.93,5,200.93,194,06-Jul-2026
JTLIND,EQ,90.3,0.48,92.19,91.01,28-Aug-2026
KALYANIFRG,EQ,914.3,19.99,914.3,849.65,09-Oct-2025
KODYTECH,ST,1490,5,1490.05,1480,24-Aug-2026
KOPRAN,EQ,217.16,7.63,235.07,219,29-May-2026
KRN,EQ,1550,-3.71,1668,1612.1,28-Aug-2026
KSHITIJ-RE,BE,0.04,33.33,0.04,0.03,28-Aug-2026
KTKBANK,EQ,335.7,1.62,342.5,341,26-Aug-2026
LANCER,EQ,13.06,13.57,13.8,12.1,27-Aug-2026
LAURUSLABS,EQ,1865.6,-3.76,1949,1938.5,28-Aug-2026
LEAPIND,EQ,168.3,-0.06,172.29,171.25,19-Aug-2026
LIQUIDCASE,EQ,115.72,0.02,115.73,115.71,28-Aug-2026
LIQUIDSHRI,EQ,1119.56,0.01,1119.58,1119.44,28-Aug-2026
LOKESHMACH,EQ,343.95,10.08,374.8,358.25,11-Aug-2026
LOTUSCHO,EQ,632.2,2.91,660,635,17-Aug-2026
MAHASTEEL,BE,1375,3.41,1377,1330,28-Aug-2026
MANAKSTEEL,EQ,99.52,4.99,99.52,94.79,28-Aug-2026
MANALIPETC,EQ,81.59,11.22,84.8,78.72,19-Aug-2026
MANGLMCEM,EQ,1069.85,0.65,1102,1089.4,27-Aug-2026
MIDSMALL,EQ,52.33,-0.8,52.86,52.81,27-Aug-2026
MINALIND,BE,4.41,5,4.41,4.2,28-Aug-2026
MODISONLTD,EQ,454.05,9.99,454.05,423.95,26-Aug-2026
MOHEALTH,EQ,52.19,-0.5,53.76,53,27-Jul-2026
MOHITE,EQ,3.26,10.51,3.3,3.16,28-Aug-2026
MOMENTUM50,EQ,54.86,-1.08,55.97,55.88,21-Nov-2025
MOMETAL,EQ,13.24,-2.79,13.75,13.74,27-Aug-2026
MONOLITH,SM,1174.55,-4.2,1240,1238.5,28-Aug-2026
MOREPENLAB,EQ,106.36,0.16,110.38,106.37,28-Aug-2026
MSTCLTD,EQ,748.45,2.58,763,753.5,26-Aug-2026
MVELECTRO,EQ,765.75,6.42,780,768,28-Aug-2026
NEAGI,EQ,3410.1,-1.16,3600,3500,26-Aug-2026
OFSS,EQ,12180,-0.08,12325,12275,28-Aug-2026
PARNAXLAB,EQ,132,2.8,138,130,28-Aug-2026
PCCL,SM,400,2.07,417,393,28-Aug-2026
PHARMABEES,EQ,27.6,-0.58,28.32,28.01,06-Aug-2026
PIRAMALFIN,EQ,2308,1.3,2324,2299.9,28-Aug-2026
PRECWIRE,EQ,504.15,-0.63,524.9,507.35,28-Aug-2026
