"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHANGE 
","VOLUME 
(Shares)","VALUE ","CA 
"
"HDFCBANK","723.05","739.75","723.05","720.30","731.20","1.51","2,67,32,919","19,60,61,90,123.79","19-Jun-2026"
"ATHERENERG","1,655.00","1,674.80","1,626.40","1,616.30","1,645.00","1.78","55,41,151","9,15,46,46,390.12","-"
"AUGMONT","961.00","1,019.80","961.00","788.00","996.60","3.70","54,90,435","5,40,45,64,596.60","-"
"ASHOKA","117.70","128.30","116.91","112.65","126.96","12.70","3,45,30,447","4,32,83,91,531.45","20-Sep-2024"
"ICICIBANK","1,422.80","1,430.00","1,419.70","1,422.80","1,422.40","-0.03","29,68,147","4,22,92,53,297.36","03-Aug-2026"
"ETERNAL","328.80","332.95","323.60","328.00","324.65","-1.02","1,26,30,408","4,13,89,84,701.60","-"
"BSE","3,405.00","3,408.00","3,337.00","3,405.00","3,354.00","-1.50","9,15,262","3,07,41,91,158.22","10-Jul-2026"
"NORTHARC","301.30","312.00","298.60","285.75","309.25","8.22","98,78,182","3,03,13,17,710.34","-"
"TEMPSENS","579.00","585.00","562.55","586.65","576.25","-1.77","48,41,515","2,77,95,13,761.50","-"
"FMGOETZE","616.00","641.10","616.00","602.05","619.10","2.83","41,85,337","2,62,37,87,765.30","14-Aug-2024"
"RELIANCE","1,278.70","1,278.70","1,271.00","1,287.00","1,275.80","-0.87","20,19,954","2,57,40,87,980.82","05-Jun-2026"
"SILVERBEES","220.77","222.10","219.70","230.42","220.99","-4.09","1,12,56,100","2,49,22,13,101.00","-"
"GOLDBEES","127.79","127.79","126.15","130.85","126.16","-3.58","1,87,54,154","2,37,52,13,604.10","19-Dec-2019"
"MCX","3,316.00","3,368.00","3,300.00","3,332.00","3,357.60","0.77","6,83,622","2,28,78,84,583.62","28-Aug-2026"
"TARIL","317.05","326.95","311.85","303.45","312.85","3.10","71,41,840","2,27,79,61,286.40","09-May-2025"
"KAYNES","3,943.00","3,943.00","3,769.60","3,943.10","3,787.70","-3.94","5,61,854","2,14,62,37,331.68","08-Sep-2023"
"HINDCOPPER","528.00","529.50","520.10","533.55","526.75","-1.27","40,35,263","2,11,62,53,327.72","13-Feb-2026"
"IDEA","14.78","14.92","14.63","14.68","14.77","0.61","14,32,00,703","2,11,22,10,369.25","20-Aug-2024"
"LAURUSLABS","1,945.00","1,949.00","1,893.90","1,938.50","1,909.00","-1.52","10,99,038","2,10,95,26,508.34","08-May-2026"
"IFCI","90.20","92.14","89.25","89.96","90.45","0.54","2,32,83,369","2,10,64,46,393.43","19-Sep-2024"
