Symbol ,Series ,LTP ,%change ,New 52W/L price ,Prev. Low ,Prev. Low Date 
ABFRL,EQ,52.14,-0.67,52.05,52.21,28-Aug-2026
ABLBL,EQ,86.6,2.36,84,84.24,24-Aug-2026
ADVIKCA,EQ,1.17,-1.68,1.12,1.15,17-Aug-2026
AHLUCONT,EQ,619.95,-3.3,615.6,620,26-Aug-2026
ALOKINDS,EQ,8.48,-8.23,8.37,9.16,28-Aug-2026
ALPINETEX,EQ,53.61,-2.81,53.56,54.5,28-Aug-2026
ARSHIYA,BZ,0.77,-4.94,0.77,0.8,28-Aug-2026
ASMS,BE,7.05,0.57,6.66,6.75,28-Aug-2026
ASTRAZEN,EQ,6962,-2.03,6935,7070,27-Aug-2026
AUGMONT,EQ,913.1,-4.98,903.6,0,-
AXTEL,EQ,388.05,-1.6,385,390,27-Aug-2026
BAYERCROP,EQ,3969.3,-1.96,3952.1,4030,17-Aug-2026
BENARAS,EQ,10200,0.77,9965,10000,28-Aug-2026
BIOPOL,SM,51.25,-9.93,51.25,56.9,28-Aug-2026
BMETRICS,SM,31.05,-7.31,31.05,33,28-Aug-2026
BOHRAIND,EQ,12.37,-2.14,12,12.02,27-Jul-2026
CEREBRAINT,BZ,2.51,-3.83,2.48,2.5,17-Aug-2026
CMICABLES,BZ,2.41,-4.74,2.41,2.5,24-Aug-2026
CMSINFO,EQ,245.1,1.05,238.3,239,27-Aug-2026
CRIZAC,EQ,165.5,-4.28,165,170.29,19-Aug-2026
CROWN,EQ,107.8,4.97,100.11,100.62,30-Mar-2026
DABUR,EQ,384.65,-0.35,381,383.1,28-Aug-2026
DELPHIFX,BE,6.42,0,6.12,6.19,24-Aug-2026
DIL,BZ,0.65,-4.41,0.65,0.68,24-Aug-2026
DPSCLTD,BE,7.2,0.14,6.84,6.85,21-Aug-2026
DRONE,SM,34.8,-8.3,33,33.3,24-Aug-2026
EDUCOMP,BZ,0.87,-1.14,0.85,0.85,24-Aug-2026
ELITECON,EQ,10.64,-5,10.64,11.2,28-Aug-2026
