"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ADANIENT",3165,3165,2931.8,3168.5,2942,-7.15,4825674,14500185235.2,"12-Jun-2026"
"ADANIPORTS",1710,1711.4,1636.3,1707.5,1641.5,-3.87,3543999,5893032417.18,"12-Jun-2026"
"ETERNAL",328.8,332.95,315.8,328,316.35,-3.55,62592785,20294458680.55,"-"
"TATASTEEL",185.35,185.82,181.4,186.5,181.75,-2.55,27678106,5041013445.78,"12-Jun-2026"
"HINDALCO",1029.9,1029.9,1005.4,1037.4,1021.35,-1.55,4113335,4180752560.65,"10-Jul-2026"
"HDFCBANK",723.05,739.75,704.15,720.3,709.8,-1.46,70527317,50934123064.23,"19-Jun-2026"
"BAJFINANCE",1069.4,1073,1052,1079.9,1065.6,-1.32,4288862,4551597686.12,"30-Jun-2026"
"ASIANPAINT",2590,2594,2561.1,2608.7,2575,-1.29,793936,2044186716,"23-Jun-2026"
"INFY",1138.6,1143.9,1111.1,1144,1129.5,-1.27,6252391,7013682128.16,"10-Jun-2026"
"EICHERMOT",8000,8030,7941.5,8059,7961.5,-1.21,606646,4833094083.86,"31-Jul-2026"
"INDIGO",5130,5130,5056.5,5166,5107.5,-1.13,389197,1982176429.03,"13-Aug-2025"
"ITC",266,266.55,262.8,266,263,-1.13,17996437,4756638263.47,"27-May-2026"
"JSWSTEEL",1323.8,1326.8,1303.3,1334.9,1320.4,-1.09,877610,1153662225.5,"07-Jul-2026"
"SBILIFE",1760,1761.1,1739,1761.1,1743.8,-0.98,525466,917579238.52,"06-Mar-2026"
"SHRIRAMFIN",1080,1088.3,1060.1,1086.9,1076.6,-0.95,4281698,4597173508.64,"03-Jul-2026"
"ULTRACEMCO",11550,11560,11415,11589,11481,-0.93,288403,3308293885.24,"30-Jul-2026"
"TECHM",1640,1640.9,1609.1,1640.9,1626.4,-0.88,1966320,3187345730.4,"03-Jul-2026"
"HDFCLIFE",545,546.95,538.8,548,543.3,-0.86,952722,517699607.58,"19-Jun-2026"
"BHARTIARTL",1880,1895.5,1864,1882.4,1868.1,-0.76,8289778,15594150089.14,"24-Jul-2026"
"TCS",2342,2344.6,2306.2,2342,2328,-0.6,1570270,3647752912.7,"15-Jul-2026"
