"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ADANIENT",3165,3165,3067,3168.5,3071.8,-3.05,432902,1340784074.4,"12-Jun-2026"
"HINDALCO",1029.9,1029.9,1005.4,1037.4,1008.5,-2.79,1104772,1116902396.56,"10-Jul-2026"
"TATASTEEL",185.35,185.82,181.65,186.5,181.79,-2.53,7038040,1284512680.4,"12-Jun-2026"
"SHRIRAMFIN",1080,1081.5,1060.1,1086.9,1062.5,-2.24,811155,866110751.25,"03-Jul-2026"
"INFY",1138.6,1143.9,1111.1,1144,1118.8,-2.2,1857483,2079173596.05,"10-Jun-2026"
"WIPRO",180.17,180.5,177.22,180.95,177.48,-1.92,1496173,266468411.3,"27-Jul-2026"
"JSWSTEEL",1323.8,1326.8,1303.3,1334.9,1310.1,-1.86,217519,285008620.13,"07-Jul-2026"
"ADANIPORTS",1710,1711.4,1675.6,1707.5,1678.2,-1.72,443120,746528695.2,"12-Jun-2026"
"BAJFINANCE",1069.4,1073,1059.3,1079.9,1061.5,-1.7,1033909,1099893072.38,"30-Jun-2026"
"INDIGO",5130,5130,5056.5,5166,5086.5,-1.54,98727,502225236.27,"13-Aug-2025"
"ASIANPAINT",2590,2594,2561.1,2608.7,2574.1,-1.33,63420,163035062.4,"23-Jun-2026"
"TCS",2342,2344.6,2306.2,2342,2311.5,-1.3,388415,900524640.9,"15-Jul-2026"
"TMPV",318.4,318.4,314.8,319.4,315.35,-1.27,969316,306187538.08,"19-Jun-2026"
"BAJAJFINSV",1985.6,1987.9,1971,2002,1978.1,-1.19,67601,133646500.99,"30-Jun-2026"
"BEL",411.45,411.45,406.35,411.9,407.1,-1.17,1671717,681525586.56,"13-Aug-2026"
"ULTRACEMCO",11550,11560,11450,11589,11456,-1.15,17762,203821081.44,"30-Jul-2026"
"LT",4035.1,4037,3996.3,4045.8,3999.9,-1.13,150062,600893266.6,"22-May-2026"
"ETERNAL",328.8,332.95,323.6,328,324.35,-1.11,12803212,4195100443.92,"-"
"AXISBANK",1257,1262,1251.2,1265,1252.1,-1.02,891880,1119371831.6,"10-Jul-2026"
"MAXHEALTH",1013,1013,1001.7,1014.1,1003.9,-1.01,278564,280254883.48,"03-Jul-2026"
