Symbol ,Series ,LTP ,%change ,New 52W/L price ,Prev. Low ,Prev. Low Date 
ABLBL,EQ,84.55,-0.06,84,84.24,24-Aug-2026
ALOKINDS,EQ,8.85,-4.22,8.77,9.16,28-Aug-2026
ALPINETEX,EQ,54.31,-1.54,54.31,54.5,28-Aug-2026
ARSHIYA,BZ,0.78,-3.7,0.77,0.8,28-Aug-2026
ASMS,BE,6.9,-1.57,6.66,6.75,28-Aug-2026
ASTRAZEN,EQ,7034,-1.02,7010,7070,27-Aug-2026
AUGMONT,EQ,990.55,3.07,961,0,-
AXTEL,EQ,393,-0.34,386.65,390,27-Aug-2026
BENARAS,EQ,10290,1.66,9965,10000,28-Aug-2026
BIOPOL,SM,53.3,-6.33,51.25,56.9,28-Aug-2026
CEREBRAINT,BZ,2.6,-0.38,2.5,2.5,17-Aug-2026
CMICABLES,BZ,2.51,-0.79,2.5,2.5,24-Aug-2026
CRIZAC,EQ,166.96,-3.44,166.51,170.29,19-Aug-2026
DABUR,EQ,381.75,-1.1,381,383.1,28-Aug-2026
DELPHIFX,BE,6.25,-2.65,6.12,6.19,24-Aug-2026
DIL,BZ,0.65,-4.41,0.65,0.68,24-Aug-2026
DPSCLTD,BE,7.1,-1.25,6.84,6.85,21-Aug-2026
EDUCOMP,BZ,0.86,-2.27,0.85,0.85,24-Aug-2026
ELITECON,EQ,10.64,-5,10.64,11.2,28-Aug-2026
EMAMILTD,EQ,375.25,-1.09,374.25,376.4,08-Jun-2026
EPACK,EQ,189.88,-1.08,189.18,190.98,28-Aug-2026
FASCINATE,ST,88.95,-4.97,88.95,93.6,28-Aug-2026
FCONSUMER,BZ,0.22,-4.35,0.22,0.23,24-Aug-2026
FIRSTCRY,EQ,187.3,0.98,184.8,184.97,28-Aug-2026
FMCGADD,EQ,46.78,-1.16,46.6,46.84,28-Aug-2026
GAJA,EQ,155.7,-1.87,155.49,156.91,28-Aug-2026
GANGAFORGE,EQ,1.68,4.35,1.53,1.59,27-Jul-2026
GODREJCP,EQ,905.7,-1.02,904.4,906.3,13-Aug-2026
HINDUNILVR,EQ,1991,-0.96,1988,1997.5,28-Aug-2026
HORIZONIND,EQ,55.21,-4.89,55,55.13,26-Aug-2026
ICELCO,SM,122.4,-4.38,122,125,27-Aug-2026
INDOTHAI,EQ,43.88,-4.98,43.88,46.18,28-Aug-2026
INOXWIND,EQ,69.81,-2.76,69.75,71.27,28-Aug-2026
INSUREIETF,EQ,15.3,-0.33,15.22,15.27,28-Aug-2026
IRCTC,EQ,482.6,-0.63,481,481,25-Aug-2026
IRFC,EQ,83.36,-0.64,83.07,83.65,28-Aug-2026
ITC,EQ,264.65,-0.51,264.25,264.8,28-Aug-2026
JKLAKSHMI,EQ,538.1,-0.51,536.5,539,28-Aug-2026
LANDSMILL,EQ,0.69,0,0.68,0.68,27-Aug-2026
LARGEMID50,EQ,36.55,-0.87,36.54,36.7,28-Aug-2026
MAKS,SM,12.65,-4.89,12.65,13.3,28-Aug-2026
MIDBANKADD,EQ,17.16,-0.35,17.09,17.21,28-Aug-2026
NAGAFERT,BZ,2.05,-4.65,2.05,2.15,24-Aug-2026
NAMAN,SM,38,0,38,38,28-Aug-2026
NIF500BETA,EQ,37.63,-0.58,37.63,37.75,28-Aug-2026
NTCIND,EQ,132,-1.1,132,132.5,28-Aug-2026
OSIAHYPER,BE,2.43,-2.8,2.4,2.4,17-Aug-2026
OSWALGREEN,EQ,20.05,-3.33,19.66,19.76,30-Mar-2026
PIIND,EQ,2389.2,-1.28,2386.3,2420.1,28-Aug-2026
PRAMODINI,ST,115,0.17,114,114,19-Aug-2026
PRAXIS,EQ,4.9,-1.21,4.86,4.94,27-Aug-2026
PRLIND,SM,43.05,1.06,42,42.15,27-Aug-2026
RALLIS,EQ,205.14,-2.14,205.11,207.53,12-Aug-2026
RAMKY,EQ,355.55,-0.82,351,357.2,28-Aug-2026
RAYMONDLSL,EQ,668.7,-3.28,666.6,677,03-Aug-2026
RELINFRA,BE,59.39,-2,59.39,60.04,27-Jul-2026
REPRO,EQ,305.85,-0.68,304.6,305,27-Aug-2026
RHETAN,EQ,19.21,-5.42,19.11,20.17,28-Aug-2026
RMC,EQ,242.65,-1.54,239.3,243.65,28-Aug-2026
RPPINFRA,EQ,54.71,1.63,53.5,53.6,28-Aug-2026
RVNL,EQ,212,-1.04,211.75,214,28-Aug-2026
SAWALIYA,SM,153,-9.97,153,169.95,28-Aug-2026
SEKURITIND,EQ,115.98,0.48,114.5,115,28-Aug-2026
SHRJAGP,EQ,625.15,-7.12,590.05,664.1,25-Aug-2026
SILVER001,EQ,23.5,-3.69,23.2,23.2,28-Aug-2026
SKIL,BZ,0.86,4.88,0.78,0.82,24-Aug-2026
SKYTECH,ST,51.8,-4.95,51.8,54.5,28-Aug-2026
SOLEX,EQ,738.5,-2.78,735,753.05,27-Aug-2026
SRTL,EQ,37.75,-0.5,37.5,37.6,28-Aug-2026
STARCEMENT,EQ,180.45,-3.91,180.12,185.3,28-Aug-2026
SWANCORP,EQ,296.25,-0.64,293.3,295.65,27-Aug-2026
SYMPHONY,EQ,589.6,-0.26,589,590,28-Aug-2026
TERAI,EQ,129,12.17,103,106.35,25-Aug-2026
TICL,BE,8.7,-4.29,8.7,8.91,29-Jul-2026
TRANSRAILL,EQ,436.6,-3.57,435.65,450.05,27-Jan-2026
VEDAVAAG,EQ,18.69,1.96,16.98,18,28-Aug-2026
VESUVIUS,EQ,416.5,-1.2,416,418.3,28-Aug-2026
VIJSOLX,EQ,665.6,-3.54,665.6,675,18-Aug-2026
VOLTAS,EQ,1188.1,-0.99,1182.8,1186.8,02-Apr-2026
