Symbol ,Series ,LTP ,%change ,New 52W/L price ,Prev. Low ,Prev. Low Date 
ABFRL,EQ,52.03,-0.88,51.65,52.21,28-Aug-2026
ABLBL,EQ,86.52,2.27,84,84.24,24-Aug-2026
ADVIKCA,EQ,1.19,0,1.12,1.15,17-Aug-2026
AGUL,SM,45.9,-0.33,45.9,46.05,28-Aug-2026
AHLUCONT,EQ,619.5,-3.37,615.05,620,26-Aug-2026
ALOKINDS,EQ,8.71,-5.74,8.37,9.16,28-Aug-2026
ALPINETEX,EQ,53.7,-2.65,53.2,54.5,28-Aug-2026
ARSHIYA,BZ,0.77,-4.94,0.77,0.8,28-Aug-2026
ASMS,BE,7.05,0.57,6.66,6.75,28-Aug-2026
ASTRAZEN,EQ,6948,-2.23,6905,7070,27-Aug-2026
AUGMONT,EQ,904,-5.93,900,0,-
AXTEL,EQ,388.3,-1.53,385,390,27-Aug-2026
BAYERCROP,EQ,3973,-1.87,3940,4030,17-Aug-2026
BENARAS,EQ,10200,0.77,9965,10000,28-Aug-2026
BIOPOL,SM,51.25,-9.93,51.25,56.9,28-Aug-2026
BMETRICS,SM,31.05,-7.31,31.05,33,28-Aug-2026
BOHRAIND,EQ,12.15,-3.88,12,12.02,27-Jul-2026
CEREBRAINT,BZ,2.5,-4.21,2.48,2.5,17-Aug-2026
CMICABLES,BZ,2.41,-4.74,2.41,2.5,24-Aug-2026
CMSINFO,EQ,242.35,-0.08,238.3,239,27-Aug-2026
CRIZAC,EQ,165.8,-4.11,165,170.29,19-Aug-2026
CROWN,EQ,108.79,5.93,100.11,100.62,30-Mar-2026
DABUR,EQ,381,-1.3,381,383.1,28-Aug-2026
DELPHIFX,BE,6.49,1.09,6.12,6.19,24-Aug-2026
DIL,BZ,0.65,-4.41,0.65,0.68,24-Aug-2026
DPSCLTD,BE,7.23,0.56,6.84,6.85,21-Aug-2026
DRONE,SM,34.1,-10.14,33,33.3,24-Aug-2026
EDUCOMP,BZ,0.87,-1.14,0.85,0.85,24-Aug-2026
ELITECON,EQ,10.64,-5,10.64,11.2,28-Aug-2026
EMAMILTD,EQ,363.95,-4.07,362,376.4,08-Jun-2026
EPACK,EQ,188,-2.06,186,190.98,28-Aug-2026
FASCINATE,ST,88.95,-4.97,88.95,93.6,28-Aug-2026
FCONSUMER,BZ,0.22,-4.35,0.22,0.23,24-Aug-2026
FIRSTCRY,EQ,181.7,-2.04,179.58,184.97,28-Aug-2026
FLEXITUFF,BE,2.6,0.78,2.51,2.55,26-Aug-2026
FMCGADD,EQ,47.7,0.78,46.6,46.84,28-Aug-2026
GAJA,EQ,151.7,-4.39,149.55,156.91,28-Aug-2026
GANGAFORGE,EQ,1.69,4.97,1.53,1.59,27-Jul-2026
GODREJCP,EQ,901.3,-1.5,901.3,906.3,13-Aug-2026
GSEC10ADD,EQ,26.51,-1.41,26.51,26.66,28-Aug-2026
GUJENERGY,EQ,247.75,-2.77,246.15,249.05,27-Aug-2026
HDFCBANK,EQ,709,-1.57,704.15,707,28-Aug-2026
HIMATSEIDE,EQ,69.75,-2.19,68.9,69.06,20-Aug-2026
HINDUNILVR,EQ,1967.4,-2.14,1967.4,1997.5,28-Aug-2026
HORIZONIND,EQ,58,-0.09,55,55.13,26-Aug-2026
ICELCO,SM,122.5,-4.3,122,125,27-Aug-2026
ICICIGI,EQ,1566.9,0.31,1540,1544.6,16-Jul-2026
INDOTHAI,EQ,43.88,-4.98,43.88,46.18,28-Aug-2026
INOXWIND,EQ,70.37,-1.98,69.6,71.27,28-Aug-2026
INSUREIETF,EQ,15.32,-0.2,15.22,15.27,28-Aug-2026
IRCTC,EQ,481.5,-0.85,481,481,25-Aug-2026
IRFC,EQ,83.34,-0.67,82.9,83.65,28-Aug-2026
ISTLTD,EQ,645.9,-4.51,632.6,636.6,19-Aug-2026
ITC,EQ,255.5,-3.95,255.5,264.8,28-Aug-2026
IVZBANKNF,EQ,57.28,-0.12,57.05,57.18,24-Aug-2026
IVZSENSEX,EQ,76,-4.04,75.53,75.54,25-Aug-2026
JKLAKSHMI,EQ,530,-2.01,527.35,539,28-Aug-2026
KAMAHOLD,EQ,2359.6,-0.63,2358.6,2370,28-Aug-2026
KEC,EQ,416.95,-2.08,415,418,20-Aug-2026
KMCSHIL,EQ,136.95,-0.8,133.06,134.7,17-Aug-2026
LANDSMILL,EQ,0.69,0,0.68,0.68,27-Aug-2026
LARGEMID50,EQ,36.92,0.14,36.5,36.7,28-Aug-2026
MAKS,SM,13.75,3.38,12.65,13.3,28-Aug-2026
MIDBANKADD,EQ,17.43,1.22,17.09,17.21,28-Aug-2026
NAGAFERT,BZ,2.05,-4.65,2.05,2.15,24-Aug-2026
NAMAN,SM,39.9,5,37,38,28-Aug-2026
NEELAM,SM,7,-2.78,7,7.2,27-Aug-2026
NETWORK18,EQ,27.34,-5.07,27.01,27.38,30-Mar-2026
NFPSAMPOOR,SM,22,-0.23,20.45,21,28-Aug-2026
NIF500BETA,EQ,38.3,1.19,37.6,37.75,28-Aug-2026
NTCIND,EQ,133,-0.35,130,132.5,28-Aug-2026
ONEGLOBAL,EQ,539,-1.41,520,533,19-Aug-2026
OPTIMYSTIX,SM,169.5,-2.89,160,169,25-Aug-2026
OSIAHYPER,BE,2.45,-2,2.38,2.4,17-Aug-2026
OSWALGREEN,EQ,20.15,-2.84,19.66,19.76,30-Mar-2026
PANORAMA,EQ,41,-11.77,40.49,42.2,17-Aug-2026
PGHH,EQ,7985,-1.32,7970,8066,26-Aug-2026
PHOGLOBAL,SM,14.45,-4.93,13.2,13.45,17-Aug-2026
PIIND,EQ,2370,-2.07,2370,2420.1,28-Aug-2026
PRAMODINI,ST,116.55,1.52,111.55,114,19-Aug-2026
PRAXIS,EQ,4.72,-4.84,4.72,4.94,27-Aug-2026
PRLIND,SM,42.3,-0.7,41.8,42.15,27-Aug-2026
RAJTV,EQ,9.88,-5,9.88,9.93,06-Aug-2026
RALLIS,EQ,208,-0.78,205.11,207.53,12-Aug-2026
RAMKY,EQ,351,-2.09,348.85,357.2,28-Aug-2026
RAYMONDLSL,EQ,665,-3.81,660,677,03-Aug-2026
RELINFRA,BE,59.39,-2,59.39,60.04,27-Jul-2026
REPRO,EQ,310.9,0.96,301.6,305,27-Aug-2026
RHETAN,EQ,19.12,-5.86,19.1,20.17,28-Aug-2026
RMC,EQ,241.9,-1.85,239.05,243.65,28-Aug-2026
RPPINFRA,EQ,55.8,3.66,53.5,53.6,28-Aug-2026
RRECL,EQ,144.8,7.66,130,130.5,28-Aug-2026
RTNPOWER,EQ,7.56,-4.91,7.39,7.52,30-Mar-2026
RVNL,EQ,210,-1.97,209.5,214,28-Aug-2026
SAB,EQ,170,0,165,170,27-Aug-2026
SAIFL,SM,4.8,-4,4.55,4.85,17-Aug-2026
SARTELE,SM,93.85,-3.3,92.4,94,19-Aug-2026
SAWALIYA,SM,153,-9.97,153,169.95,28-Aug-2026
SEKURITIND,EQ,114.02,-1.22,114.01,115,28-Aug-2026
SHILGRAVQ,EQ,154.43,-9.2,152.5,157.8,17-Aug-2026
SHRJAGP,EQ,640,-4.92,590.05,664.1,25-Aug-2026
SILVER001,EQ,23.68,-2.95,23.2,23.2,28-Aug-2026
SKIL,BZ,0.84,2.44,0.78,0.82,24-Aug-2026
SKYTECH,ST,51.8,-4.95,51.8,54.5,28-Aug-2026
SOLEX,EQ,747,-1.66,733,753.05,27-Aug-2026
SONAL,EQ,84.51,-4.99,84.51,85.05,10-Aug-2026
SRTL,EQ,38.65,1.87,37.5,37.6,28-Aug-2026
STARCEMENT,EQ,185,-1.49,180.12,185.3,28-Aug-2026
SUMEETINDS,EQ,12.27,-3.23,12.21,12.24,20-Aug-2026
SUNRAKSHAK,EQ,368,-1.34,365,365,26-Aug-2026
SUNSHIEL,EQ,1155,-2.07,1130,1131.3,27-Aug-2026
SUNTV,EQ,466,-1.79,458.6,461,27-Aug-2026
SUPREME,EQ,37.8,-2.53,37.55,38.5,27-Aug-2026
SWANCORP,EQ,291,-2.4,290.15,295.65,27-Aug-2026
SYMPHONY,EQ,585.8,-0.91,584,590,28-Aug-2026
TANAA,EQ,289.8,-1.11,288.55,290,28-Aug-2026
TCI,EQ,869.95,-2.04,863,868.05,18-May-2026
TEJA,SM,233.1,-10,233.1,259,28-Aug-2026
TERAI,EQ,121.6,5.74,103,106.35,25-Aug-2026
TERASOFT,EQ,288.3,-3.19,283,285,18-May-2026
TICL,BE,8.7,-4.29,8.64,8.91,29-Jul-2026
TOUCHWOOD,EQ,59.11,-2.6,59,59,28-Aug-2026
TRANSRAILL,EQ,439.6,-2.9,435.65,450.05,27-Jan-2026
