"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHANGE 
","VOLUME 
(Shares)","VALUE ","CA 
"
"PCJEWELLER","10.88","11.14","10.69","10.94","11.02","0.73","29,60,29,511","3,23,56,02,555.23","16-Dec-2024"
"IDEA","14.78","14.92","14.63","14.68","14.80","0.82","27,42,88,238","4,04,57,51,510.50","20-Aug-2024"
"GATECH","1.11","1.11","1.10","1.06","1.11","4.72","12,18,90,363","13,40,79,399.30","28-Apr-2025"
"OLAELEC","39.00","41.75","38.31","38.98","41.74","7.08","10,47,39,997","4,19,06,47,279.97","-"
"ZEEL","101.00","101.18","86.90","101.51","94.90","-6.51","9,42,60,847","8,71,81,85,739.03","29-Aug-2025"
"BAJAJHIND","21.75","23.10","21.04","21.67","22.77","5.08","9,04,95,638","2,02,07,67,596.54","20-Jun-2024"
"ASHOKA","117.70","129.00","116.91","112.65","122.37","8.63","8,86,29,506","11,10,08,45,626.50","20-Sep-2024"
"TATAGOLD","15.36","15.36","14.72","15.36","14.95","-2.67","6,18,65,083","92,30,27,038.36","-"
"SAGILITY","46.50","47.49","45.85","46.34","47.00","1.42","5,62,31,566","2,62,48,89,500.88","07-Aug-2026"
"YESBANK","22.07","22.19","21.98","22.10","22.04","-0.27","5,48,30,416","1,20,95,58,976.96","03-Jun-2019"
"MANALIPETC","75.00","84.80","73.62","73.36","82.87","12.96","5,19,58,921","4,28,34,93,447.24","08-Sep-2025"
"HDFCBANK","723.05","739.75","710.50","720.30","710.90","-1.31","5,17,18,632","37,60,77,20,445.12","19-Jun-2026"
"TATSILV","23.18","23.18","22.23","23.37","22.61","-3.25","4,88,31,635","1,09,82,23,471.15","-"
"ALOKINDS","9.30","9.30","8.57","9.24","8.60","-6.93","4,50,62,691","39,83,54,188.44","-"
"RTNPOWER","7.97","8.13","7.52","7.95","7.65","-3.77","4,48,20,616","34,51,18,743.20","22-Sep-2023"
"SHIPROCKET","124.74","137.50","124.05","125.40","135.69","8.21","4,44,68,329","5,95,78,66,719.42","-"
"GROWW","192.00","194.55","190.03","191.46","193.07","0.84","4,39,86,657","8,47,13,90,271.63","-"
"GOLDBEES","127.79","127.79","126.08","130.85","127.13","-2.84","4,31,76,236","5,47,38,83,200.08","19-Dec-2019"
"DHARAN","0.16","0.16","0.14","0.15","0.15","-","4,22,23,647","63,33,547.05","04-Apr-2025"
"RENUKA","24.02","25.81","23.74","24.14","25.16","4.23","4,19,51,682","1,05,04,70,117.28","23-Sep-2019"
