"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ICICIBANK",1422.8,1450.9,1419,1422.8,1442.9,1.41,13210636,18934672472.44,"03-Aug-2026"
"GRASIM",3290,3330.4,3250,3290,3321.4,0.95,696470,2297563988.9,"07-Aug-2026"
"RELIANCE",1278.7,1297.5,1271,1287,1296.8,0.76,7800805,10004298388.35,"05-Jun-2026"
"BAJAJ-AUTO",11910,12040,11877,11910,11999,0.75,282148,3382720337.16,"24-Jun-2026"
"COALINDIA",402.05,405.6,399.65,401,402.7,0.42,6466478,2599394826.44,"04-Sep-2026"
"SUNPHARMA",1917,1931.9,1905,1920,1927.6,0.4,1354068,2601340656.84,"07-Jul-2026"
"M&M",3320,3365,3303,3334,3346.7,0.38,1849264,6173804849.28,"03-Jul-2026"
"BEL",411.45,413.65,406.3,411.9,413.3,0.34,10016994,4108870768.86,"13-Aug-2026"
"MARUTI",13375,13480,13268,13376,13408,0.24,321822,4302383608.26,"07-Aug-2026"
"WIPRO",180.17,181.58,176.17,180.95,181.34,0.22,9030829,1610287118.99,"27-Jul-2026"
"APOLLOHOSP",8850,8902,8813,8838.5,8852,0.15,319806,2831053832.46,"14-Aug-2026"
"ONGC",233.8,234.95,231.7,232.25,232.57,0.14,8720737,2031844513.63,"18-Feb-2026"
