"SYMBOL","SECURITY NAME","TODAY - VOLUME","PAST WEEK - AVERAGE VOLUME","PAST WEEK - CHANGE","PAST 2 WEEK - AVERAGE VOLUME","PAST 2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHANGE","TODAY - VALUE"
"MIDCAPADD","DSP Mutual Fund - DSP Nifty Midcap 150 ETF",2956340,5960,496.0135565920607,45758,64.60730879004166,23.45,-0.64,69296609
"ASHOKA","Ashoka Buildcon Limited",94160925,437012,215.4651103721542,459073,205.11087227246716,120.8,7.23,11773882062
"DIFFNKG","Diffusion Engineers Limited",7083891,59479,119.09742467190542,71640,98.88109379471109,477.95,16.29,3297055388
"MANALIPETC","Manali Petrochemicals Limited",67930272,841907,80.68615622098108,2327880,29.181166766027435,81.62,11.26,5600850926
"TNPETRO","Tamilnadu PetroProducts Limited",19455870,313607,62.038898292005676,538515,36.1287026782511,121.8,9.37,2382954957
"BBETF0432","Edelweiss Mutual Fund - BHARAT Bond ETF - April 2032 - Growth",214032,4369,48.988784618905925,2785,76.83791060850835,1336.88,-0.42,285171956
"AYMSYNTEX","AYM Syntex Limited",1440997,31424,45.85599088606306,36287,39.710561488115744,281.2,10.53,401533814
"DGCONTENT","Digicontent Limited",196204,5263,37.27562884717684,9527,20.5945208355201,25.32,6.16,5315166
"PAR","Par Drugs and Chemicals Limited",288566,7864,36.69269111438889,8712,33.12053807129904,117.99,17.74,33447685
"INFRAIETF","ICICI Prudential Mutual Fund-ICICI Prudential Nifty Infrastructure ETF",13161169,422762,31.131375983945585,280042,46.99699117420623,94.7,-0.09,1243730470
"SGRL","Shree Ganesh Remedies Limited",132903,4873,27.26886618244491,5865,22.6572675508882,611.45,12.69,82321447
"ALIVUS","Alivus Life Sciences Limited",1181899,44673,26.45643716394991,68869,17.161553093554428,1402.3,3.86,1678320217
"INNOVISION","Innovision Limited",333509,15159,22.00014512447722,14857,22.447030475985354,274.15,10.88,94536461
"VIMTALABS","Vimta Labs Limited",2301890,104785,21.96774347473398,114897,20.03437861737034,645.5,4.5,1514045128
"SBINEQWETF","SBI Mutual Fund - SBI Nifty50 Equal Weight ETF",409953,19812,20.692156268927924,21044,19.48075460938985,33.46,-0.48,13667833
"VENKEYS","Venky's (India) Limited",1237545,61606,20.087929176189487,42232,29.303282085039175,1706.4,8.56,2095510197
"NIACL","The New India Assurance Company Limited",25429341,1431544,17.76357128706591,1432839,17.747511619931274,190.53,2.25,4990253877
"KALYANIFRG","Kalyani Forge Limited",60037,3952,15.191548582995951,4289,13.995617409142831,914.3,19.99,52439317
"NEXTMEDIA","Next Mediaworks Limited",1281630,86599,14.79945681167855,49381,25.95354149411624,5.13,11.04,6690108
"MOMGF","Motilal Oswal Mutual Fund-Motilal Oswal Nifty India Manufacturing ETF",3200,219,14.598540145985401,1024,3.1222558298370573,165,-0.07,526272
"ASIANHOTNR","Asian Hotels (North) Limited",933699,63965,14.596892704828846,36076,25.881229505243056,366.15,15.89,341024222
"SPLPETRO","Supreme Petrochem Limited",1171238,81071,14.447064918404855,60370,19.400865324728674,727.5,3.8,858400330
"SHIVATEX","Shiva Texyarn Limited",78805,6387,12.337184545056045,4368,18.03772116551077,181,2.61,14570256
"RAJTV","Raj Television Network Limited",145074,12035,12.054141185854826,16639,8.718546608412412,9.88,-5,1452190
"BALKRISIND","Balkrishna Industries Limited",4315701,361595,11.935165657527723,234051,18.43913999976928,2275.8,-2.75,9913294668
