SYMBOL ,SERIES ,LTP ,%CHANGE ,NEW 52W/H PRICE ,PREV. HIGH ,PREV. HIGH DATE 
3BBLACKBIO,EQ,1467.7,1.84,1510,1463,28-Aug-2026
AKIKO,SM,409.5,-0.12,413,412.95,26-Aug-2026
ALBERTDAVD,EQ,911.65,1.45,931.85,912,28-Aug-2026
ALIVUS,EQ,1392,3.1,1493.8,1418,11-Aug-2026
ARHAM,SM,212,-1.58,223.75,220.05,26-Aug-2026
ASIANTNE,EQ,10.7,-1.74,10.99,10.99,28-Aug-2026
ATHERENERG,EQ,1644.7,1.76,1674.8,1630,28-Aug-2026
AUGMONT,EQ,992,3.23,1019.8,0,-
BAFNAPH,BE,305.65,5,305.65,291.35,28-Aug-2026
BAJAJ-AUTO,EQ,11994,0.71,12040,11974,28-Aug-2026
BHAGERIA,BE,250.68,5,250.68,244.6,24-Oct-2025
BIRLACABLE,BE,308.9,4.67,309.86,308.25,13-Aug-2026
BLISSGVS,BE,603.35,2.59,617.5,602.45,20-Aug-2026
BODALCHEM,EQ,112.25,13.29,116.5,99.19,28-Aug-2026
CALSOFT,EQ,37.27,4.99,37.27,35.5,28-Aug-2026
CNL,EQ,1297.1,4.42,1328,1275,18-Aug-2026
COFORGE,EQ,1980.9,-1.67,2021.2,2016.5,28-Aug-2026
CORDSCABLE,EQ,282,12.25,283.7,259.8,25-Aug-2026
DIFFNKG,EQ,449.8,9.44,457.95,453.9,07-Aug-2026
DYCL,EQ,488,0.08,503.25,491,28-Aug-2026
ELIQUID,EQ,1045.88,0.01,1045.88,1045.75,28-Aug-2026
ENEXT50,EQ,73.34,-0.89,76,75.86,27-Aug-2026
FMGOETZE,EQ,620,2.98,641.1,614.8,28-Aug-2026
FORCAS,ST,223.5,4.44,223.5,217.95,19-Aug-2026
FRESHARA,ST,450,2.53,458.95,447.7,28-Aug-2026
GATECH,BE,1.11,4.72,1.11,1.07,28-Aug-2026
GCSL,EQ,552.75,2.12,553,548,27-Aug-2026
GFSTEELS,BE,15,0,15,15,24-Aug-2026
GHCLTEXTIL,EQ,134.18,2.59,137,132.04,28-Aug-2026
GIPCL,EQ,202.41,-1.7,207.2,206.8,28-Aug-2026
GKSL,EQ,161.61,0.6,163.99,163.44,28-Aug-2026
HALDYNGL,BE,140.88,1.14,143,140.23,28-Aug-2026
HAPPYFORGE,EQ,2330.3,1.01,2405,2340,19-Aug-2026
HATSUN,EQ,1180.45,0.37,1198,1196.55,28-Aug-2026
HEALTHCARE,EQ,21.74,-0.69,22.43,22.29,19-Aug-2026
HFCL,EQ,253.53,0.82,256.7,255.1,28-Aug-2026
IMPEXFERRO,BZ,4.38,1.86,4.38,4.3,28-Aug-2026
INGERRAND,EQ,4851.1,-0.19,4934.9,4899,28-Aug-2026
IVP,BE,194,1.37,197,194,06-Jul-2026
JTLIND,EQ,90.7,0.92,92.19,91.01,28-Aug-2026
KOPRAN,EQ,226.11,12.07,235.07,219,29-May-2026
KRN,EQ,1605.3,-0.27,1668,1612.1,28-Aug-2026
KSHITIJ-RE,BE,0.04,33.33,0.04,0.03,28-Aug-2026
LANCER,EQ,13.18,14.61,13.8,12.1,27-Aug-2026
LAURUSLABS,EQ,1905.9,-1.68,1949,1938.5,28-Aug-2026
LEAPIND,EQ,167.7,-0.42,172.29,171.25,19-Aug-2026
LIQUIDCASE,EQ,115.72,0.02,115.73,115.71,28-Aug-2026
LIQUIDSHRI,EQ,1119.58,0.01,1119.58,1119.44,28-Aug-2026
LOKESHMACH,EQ,365.2,16.88,369,358.25,11-Aug-2026
LOTUSCHO,EQ,639.95,4.17,639.95,635,17-Aug-2026
MAHASTEEL,BE,1345,1.15,1360,1330,28-Aug-2026
MANAKSTEEL,EQ,99.52,4.99,99.52,94.79,28-Aug-2026
MANGLMCEM,EQ,1070.75,0.74,1097.4,1089.4,27-Aug-2026
MIDSMALL,EQ,52.27,-0.91,52.86,52.81,27-Aug-2026
MINALIND,BE,4.41,5,4.41,4.2,28-Aug-2026
MODISONLTD,EQ,448.1,8.55,454.05,423.95,26-Aug-2026
MOHEALTH,EQ,52.14,-0.59,53.76,53,27-Jul-2026
MOMENTUM50,EQ,54.89,-1.03,55.97,55.88,21-Nov-2025
MOMETAL,EQ,13.23,-2.86,13.75,13.74,27-Aug-2026
MONOLITH,SM,1200,-2.12,1240,1238.5,28-Aug-2026
NEAGI,EQ,3528,2.26,3600,3500,26-Aug-2026
PHARMABEES,EQ,27.57,-0.68,28.32,28.01,06-Aug-2026
PIRAMALFIN,EQ,2297.5,0.84,2300,2299.9,28-Aug-2026
PRECWIRE,EQ,494.5,-2.53,524.9,507.35,28-Aug-2026
PVP,EQ,68.16,4.51,68.48,65.22,28-Aug-2026
QMSMEDI,BE,155,2.05,155.5,155.5,27-Aug-2026
QPOWER,EQ,1472.4,2.88,1502.7,1441,28-Apr-2026
QUESS,EQ,382.7,2.81,388.75,376.5,26-Aug-2026
RSL,EQ,176.4,-0.61,179,178,28-Aug-2026
SECMARK,EQ,168.6,11.43,179.5,152.34,28-Aug-2026
SERVICE,SM,73,1.39,73,72.4,28-Aug-2026
SETL,EQ,363,-0.33,382.4,364.2,28-Aug-2026
SGRL,EQ,615.05,13.35,651.1,589.75,28-Aug-2026
SHAHALLOYS,EQ,109,5.67,116.85,103.15,28-Aug-2026
SHETHJI,SM,183,3.04,185,185,21-May-2026
SHREEPUSHK,EQ,470.95,4.33,491,481.5,27-Aug-2026
SHUKRAPHAR,EQ,45.39,2.51,46.99,46.16,26-Aug-2026
SIMPLXREA,EQ,136.68,0.5,136.68,136.5,19-Aug-2026
SMARTLINK,BE,221.11,-2.59,233,232.05,14-Aug-2026
SOMANYCERA,EQ,559,-0.97,575.1,568.6,28-Aug-2026
SONAMLTD,EQ,78.71,7.57,80,74.6,28-Aug-2026
STEL,EQ,645.5,1.35,666.95,657.3,16-Jun-2026
STLTECH,BE,738.95,2.1,757.7,728.6,28-Aug-2026
