"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ADANIENT",3165,3165,2960,3168.5,3012.5,-4.92,2585998,7864356097.74,"12-Jun-2026"
"ADANIPORTS",1710,1711.4,1656,1707.5,1660.4,-2.76,1711923,2871203017.14,"12-Jun-2026"
"TATASTEEL",185.35,185.82,181.4,186.5,181.82,-2.51,19294281,3516382712.25,"12-Jun-2026"
"BAJFINANCE",1069.4,1073,1052,1079.9,1058.7,-1.96,3138894,3329958477.78,"30-Jun-2026"
"NTPC",330.1,330.45,323.5,330.05,323.9,-1.86,11766483,3837050106.3,"02-Sep-2026"
"ETERNAL",328.8,332.95,318.5,328,322,-1.83,40741055,13286880267.15,"-"
"INFY",1138.6,1143.9,1111.1,1144,1123.5,-1.79,4603043,5156236707.74,"10-Jun-2026"
"HINDALCO",1029.9,1029.9,1005.4,1037.4,1022.05,-1.48,2804412,2841794811.96,"10-Jul-2026"
"JSWSTEEL",1323.8,1326.8,1303.3,1334.9,1315.4,-1.46,666396,875331137.88,"07-Jul-2026"
"INDIGO",5130,5130,5056.5,5166,5091.5,-1.44,299391,1523666665.02,"13-Aug-2025"
"WIPRO",180.17,180.5,176.17,180.95,178.5,-1.35,6178916,1097684427.4,"27-Jul-2026"
"HDFCBANK",723.05,739.75,709.05,720.3,710.6,-1.35,52710792,38312312057.28,"19-Jun-2026"
"ASIANPAINT",2590,2594,2561.1,2608.7,2574.7,-1.3,366563,943258239.75,"23-Jun-2026"
"ULTRACEMCO",11550,11560,11415,11589,11439,-1.29,186107,2133930778.05,"30-Jul-2026"
"TECHM",1640,1640.9,1609.1,1640.9,1620,-1.27,1490323,2413771840.49,"03-Jul-2026"
"EICHERMOT",8000,8030,7941.5,8059,7957,-1.27,415439,3310006078.11,"31-Jul-2026"
"BAJAJFINSV",1985.6,1987.9,1968,2002,1980.3,-1.08,285369,564491272.59,"30-Jun-2026"
"SBILIFE",1760,1761.1,1739,1761.1,1742.8,-1.04,279841,488960582.48,"06-Mar-2026"
"HDFCLIFE",545,546.95,538.8,548,542.7,-0.97,728408,395729498.24,"19-Jun-2026"
"TITAN",5159,5159,5088,5169.2,5122,-0.91,175454,897575291.42,"09-Jul-2026"
