SYMBOL ,SERIES ,LTP ,%CHANGE ,NEW 52W/H PRICE ,PREV. HIGH ,PREV. HIGH DATE 
3BBLACKBIO,EQ,1470.8,2.05,1510,1463,28-Aug-2026
ADOR,EQ,1715.5,4.89,1766.4,1701.9,20-Aug-2026
AKIKO,SM,389,-5.12,413,412.95,26-Aug-2026
AKUMS,EQ,781.4,1.14,785,783,25-Aug-2026
ALBERTDAVD,EQ,897.8,-0.09,931.85,912,28-Aug-2026
ALIVUS,EQ,1413.8,4.71,1493.8,1418,11-Aug-2026
ALUFLUOR,EQ,479.95,0.43,489,484,28-Aug-2026
ARHAM,SM,210.6,-2.23,223.75,220.05,26-Aug-2026
ASIANTNE,EQ,10.4,-4.5,10.99,10.99,28-Aug-2026
ATHERENERG,EQ,1701,5.24,1701.7,1630,28-Aug-2026
AUGMONT,EQ,917.95,-4.48,1019.8,0,-
AUROPHARMA,EQ,1685,2.41,1703,1682.4,13-Aug-2026
AYMSYNTEX,EQ,281.9,10.81,294.7,281.22,02-Jul-2026
BAFNAPH,BE,305.65,5,305.65,291.35,28-Aug-2026
BAJAJ-AUTO,EQ,11959,0.41,12040,11974,28-Aug-2026
BHAGERIA,BE,250.68,5,250.68,244.6,24-Oct-2025
BIRLACABLE,BE,309.86,5,309.86,308.25,13-Aug-2026
BLISSGVS,BE,617.5,5,617.5,602.45,20-Aug-2026
BLSE,EQ,327.25,0.31,331.3,328.9,28-Aug-2026
BODALCHEM,EQ,118.89,19.99,118.89,99.19,28-Aug-2026
CALSOFT,EQ,37.27,4.99,37.27,35.5,28-Aug-2026
CNL,EQ,1284.1,3.38,1328,1275,18-Aug-2026
COFORGE,EQ,1984.8,-1.48,2021.2,2016.5,28-Aug-2026
COMSYN,EQ,298.86,5.98,300,298,17-Aug-2026
CORDSCABLE,EQ,297.7,18.5,299.9,259.8,25-Aug-2026
CRAFTSMAN,EQ,11394,2.48,11500,11199.5,28-Aug-2026
CYIENTDLM,EQ,836,2.06,838,836.3,28-Aug-2026
DIFFNKG,EQ,469.8,14.31,479.9,453.9,07-Aug-2026
DYCL,EQ,491.4,0.78,503.25,491,28-Aug-2026
ELIQUID,EQ,1045.87,0.01,1045.88,1045.75,28-Aug-2026
ENEXT50,EQ,73.47,-0.72,76,75.86,27-Aug-2026
ETL,SM,1110,0.54,1125,1120,28-Aug-2026
FCL,EQ,50.62,1.18,52.21,51.38,24-Aug-2026
FMGOETZE,EQ,619.8,2.95,641.1,614.8,28-Aug-2026
FORCAS,ST,224.7,5,224.7,217.95,19-Aug-2026
FRESHARA,ST,442.4,0.8,458.95,447.7,28-Aug-2026
GATECH,BE,1.11,4.72,1.11,1.07,28-Aug-2026
GCSL,EQ,551.6,1.9,554,548,27-Aug-2026
GFSTEELS,BE,15,0,15,15,24-Aug-2026
GHCLTEXTIL,EQ,134.3,2.68,137,132.04,28-Aug-2026
GIPCL,EQ,199.28,-3.22,207.2,206.8,28-Aug-2026
GKSL,EQ,157.85,-1.74,163.99,163.44,28-Aug-2026
HALDYNGL,BE,139.1,-0.14,143,140.23,28-Aug-2026
HAPPYFORGE,EQ,2362.4,2.4,2405,2340,19-Aug-2026
HATSUN,EQ,1189.8,1.17,1198,1196.55,28-Aug-2026
HBPOR,EQ,61,-1.28,65,63.99,21-Aug-2026
HEALTHCARE,EQ,21.78,-0.5,22.43,22.29,19-Aug-2026
HFCL,EQ,250.36,-0.44,256.7,255.1,28-Aug-2026
IGPL,EQ,540.2,1.47,544.9,541,27-Aug-2026
IMPEXFERRO,BZ,4.38,1.86,4.38,4.3,28-Aug-2026
INDGN,EQ,602.95,4.15,607.8,596.8,17-Sep-2025
INGERRAND,EQ,4797,-1.3,4934.9,4899,28-Aug-2026
IOLCP,EQ,192.32,-1.35,197.99,197,28-Aug-2026
IVP,BE,200.93,5,200.93,194,06-Jul-2026
JTLIND,EQ,90.3,0.48,92.19,91.01,28-Aug-2026
KALYANIFRG,EQ,914.3,19.99,914.3,849.65,09-Oct-2025
KOPRAN,EQ,218.15,8.12,235.07,219,29-May-2026
KRN,EQ,1558.9,-3.16,1668,1612.1,28-Aug-2026
KSHITIJ-RE,BE,0.04,33.33,0.04,0.03,28-Aug-2026
LANCER,EQ,13.11,14,13.8,12.1,27-Aug-2026
LAURUSLABS,EQ,1889.2,-2.54,1949,1938.5,28-Aug-2026
LEAPIND,EQ,171,1.54,172.29,171.25,19-Aug-2026
LIQUIDCASE,EQ,115.71,0.01,115.73,115.71,28-Aug-2026
LIQUIDSHRI,EQ,1119.56,0.01,1119.58,1119.44,28-Aug-2026
LOKESHMACH,EQ,360,15.22,374.8,358.25,11-Aug-2026
LOTUSCHO,EQ,636,3.52,660,635,17-Aug-2026
MAHASTEEL,BE,1373,3.26,1375,1330,28-Aug-2026
MANAKSTEEL,EQ,99.52,4.99,99.52,94.79,28-Aug-2026
MANALIPETC,EQ,82.85,12.94,84.8,78.72,19-Aug-2026
MANGLMCEM,EQ,1075.65,1.2,1102,1089.4,27-Aug-2026
MIDSMALL,EQ,52.36,-0.74,52.86,52.81,27-Aug-2026
MINALIND,BE,4.41,5,4.41,4.2,28-Aug-2026
MODISONLTD,EQ,454.05,9.99,454.05,423.95,26-Aug-2026
MOHEALTH,EQ,52.16,-0.55,53.76,53,27-Jul-2026
MOMENTUM50,EQ,55.01,-0.81,55.97,55.88,21-Nov-2025
MOMETAL,EQ,13.27,-2.57,13.75,13.74,27-Aug-2026
MONOLITH,SM,1169,-4.65,1240,1238.5,28-Aug-2026
