"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHANGE 
","VOLUME 
(Shares)","VALUE ","CA 
"
"HDFCBANK","723.05","739.75","704.15","720.30","709.60","-1.49","7,03,07,159","50,77,72,36,372.98","19-Jun-2026"
"LENSKART","646.00","671.70","640.95","636.15","668.55","5.09","5,74,49,639","37,95,12,31,523.40","-"
"BALRAMCHIN","650.20","738.95","647.55","654.85","693.00","5.83","3,77,77,379","27,00,28,92,735.41","17-Nov-2025"
"ATHERENERG","1,655.00","1,703.90","1,626.40","1,616.30","1,663.00","2.89","1,58,85,393","26,49,60,41,254.35","-"
"GROWW","192.00","194.55","190.03","191.46","191.95","0.26","12,88,42,754","24,77,00,19,456.50","-"
"ETERNAL","328.80","332.95","316.60","328.00","317.05","-3.34","6,14,58,151","19,93,51,80,439.87","-"
"BSE","3,405.00","3,408.00","3,216.30","3,405.00","3,288.00","-3.44","58,29,713","19,23,58,37,609.06","10-Jul-2026"
"ICICIBANK","1,422.80","1,450.90","1,419.00","1,422.80","1,443.10","1.43","1,31,73,848","18,88,16,81,122.96","03-Aug-2026"
"ADANIENSOL","1,589.00","1,592.90","1,445.10","1,581.40","1,457.50","-7.83","1,10,05,165","16,55,24,28,469.90","14-Jun-2024"
"AUGMONT","961.00","1,019.80","903.60","788.00","915.45","-4.74","1,69,03,893","16,14,62,60,515.74","-"
"BHARTIARTL","1,880.00","1,895.50","1,864.00","1,882.40","1,867.70","-0.78","81,90,307","15,40,83,42,656.03","24-Jul-2026"
"ADANIENT","3,165.00","3,165.00","2,932.10","3,168.50","2,934.30","-7.39","46,92,660","14,10,93,26,968.80","12-Jun-2026"
"LAURUSLABS","1,945.00","1,949.00","1,849.00","1,938.50","1,863.60","-3.86","65,73,801","12,45,61,69,610.82","08-May-2026"
"ASHOKA","117.70","129.00","116.91","112.65","121.10","7.50","9,40,45,859","11,76,04,34,667.95","20-Sep-2024"
"RELIANCE","1,278.70","1,297.10","1,271.00","1,287.00","1,296.90","0.77","77,75,775","9,97,18,87,133.25","05-Jun-2026"
"ZEEL","101.00","101.18","86.90","101.51","93.18","-8.21","10,46,67,867","9,69,32,91,162.87","29-Aug-2025"
"BALKRISIND","2,320.00","2,371.00","2,266.00","2,340.10","2,286.50","-2.29","41,21,389","9,46,99,62,788.64","04-Aug-2026"
"MCX","3,316.00","3,372.50","3,300.00","3,332.00","3,328.20","-0.11","23,00,964","7,69,21,91,680.92","28-Aug-2026"
"KAYNES","3,943.00","3,943.00","3,670.10","3,943.10","3,678.10","-6.72","20,33,865","7,63,85,05,425.90","08-Sep-2023"
"NORTHARC","301.30","319.60","298.60","285.75","311.75","9.10","2,42,74,151","7,52,93,56,157.18","-"
