"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHANGE 
","VOLUME 
(Shares)","VALUE ","CA 
"
"HDFCBANK","723.05","739.75","709.05","720.30","710.70","-1.33","5,27,17,799","38,31,74,05,025.16","19-Jun-2026"
"ATHERENERG","1,655.00","1,701.70","1,626.40","1,616.30","1,701.00","5.24","1,33,19,382","22,16,97,11,757.54","-"
"BALRAMCHIN","650.20","738.95","647.55","654.85","722.20","10.28","2,99,13,870","21,42,01,25,752.20","17-Nov-2025"
"BSE","3,405.00","3,408.00","3,216.30","3,405.00","3,288.00","-3.44","46,92,586","15,50,15,35,518.26","10-Jul-2026"
"AUGMONT","961.00","1,019.80","903.60","788.00","917.65","-4.51","1,61,93,059","15,49,46,52,365.33","-"
"ICICIBANK","1,422.80","1,444.80","1,419.00","1,422.80","1,442.30","1.37","95,01,701","13,57,55,55,303.75","03-Aug-2026"
"ETERNAL","328.80","332.95","318.50","328.00","322.05","-1.81","4,07,44,296","13,28,79,37,254.48","-"
"ASHOKA","117.70","129.00","116.91","112.65","122.35","8.61","8,86,50,975","11,10,26,48,109.00","20-Sep-2024"
"LENSKART","646.00","666.90","640.95","636.15","659.20","3.62","1,52,96,866","10,03,07,66,910.84","-"
"ZEEL","101.00","101.18","86.90","101.51","94.72","-6.69","9,44,39,994","8,73,47,55,045.06","29-Aug-2025"
"BHARTIARTL","1,880.00","1,895.50","1,875.50","1,882.40","1,880.60","-0.10","45,58,348","8,59,59,95,907.96","24-Jul-2026"
"GROWW","192.00","194.55","190.03","191.46","192.98","0.79","4,41,54,500","8,50,41,56,700.00","-"
"ADANIENT","3,165.00","3,165.00","2,960.00","3,168.50","3,012.60","-4.92","25,86,090","7,86,46,35,881.70","12-Jun-2026"
"RELIANCE","1,278.70","1,288.80","1,271.00","1,287.00","1,287.20","0.02","60,13,956","7,69,56,98,655.84","05-Jun-2026"
"LAURUSLABS","1,945.00","1,949.00","1,882.20","1,938.50","1,889.10","-2.55","39,77,525","7,60,06,12,747.25","08-May-2026"
"NORTHARC","301.30","319.60","298.60","285.75","310.70","8.73","2,27,03,781","7,03,97,61,374.67","-"
"ADANIENSOL","1,589.00","1,592.90","1,522.20","1,581.40","1,524.80","-3.58","43,78,763","6,78,84,40,066.53","14-Jun-2024"
"SHIPROCKET","124.74","137.50","124.05","125.40","135.62","8.15","4,44,87,801","5,96,04,75,577.98","-"
"MCX","3,316.00","3,372.50","3,300.00","3,332.00","3,340.20","0.25","17,49,856","5,85,36,70,786.88","28-Aug-2026"
"SILVERBEES","220.77","223.75","219.70","230.42","222.99","-3.22","2,61,59,911","5,80,54,07,449.12","-"
